Date,Injury,Firstname,Lastname,City,TeamName
"Oct 28, 2017",Missed 1 game (illness).,NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Oct 26, 2017","Illness, day-to-day.",NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Apr 07, 2016",Missed 3 games (upper body injury).,NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Apr 01, 2016","Upper body injury, day-to-day.",NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Oct 17, 2015",Missed 3 games (hip injury).,NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Oct 06, 2015","Hip injury, injured reserve.",NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Oct 20, 2012",Signed with HC Dynamo Moscow (KHL).,NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Apr 21, 2012",Missed the last playoff game (suspended by nhl).,NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Apr 17, 2012",Suspended by the NHL for 1 game.,NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Mar 31, 2012",Missed 40 games (head injury).,NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Jan 11, 2012","Head injury, injured reserve.",NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Jan 07, 2012","Head injury, day-to-day.",NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Mar 18, 2011",Missed 5 games (thumb injury).,NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"Mar 09, 2011","Thumb injury, day-to-day.",NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"May 17, 2010",Re-signed by the Washington Capitals to a 10-year contract.,NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
"May 16, 2007",Signed by the Washington Capitals to a three-year entry-level contract.,NICKLAS,BACKSTROM,WASHINGTON,CAPITALS
