Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the Hershey Bears (AHL).,MADISON,BOWEY,WASHINGTON,CAPITALS
"Feb 26, 2018",Recalled from the Hershey Bears (AHL).,MADISON,BOWEY,WASHINGTON,CAPITALS
"Feb 14, 2018","Fined $1,890 by the NHL.",MADISON,BOWEY,WASHINGTON,CAPITALS
"Dec 18, 2017",Recalled from the Hershey Bears (AHL).,MADISON,BOWEY,WASHINGTON,CAPITALS
"Dec 17, 2017",Assigned to the Hershey Bears (AHL).,MADISON,BOWEY,WASHINGTON,CAPITALS
"Oct 14, 2017",Recalled from the Hershey Bears (AHL).,MADISON,BOWEY,WASHINGTON,CAPITALS
"Oct 03, 2017",Assigned to the Hershey Bears (AHL).,MADISON,BOWEY,WASHINGTON,CAPITALS
"Oct 03, 2016",Assigned to the Hershey Bears (AHL).,MADISON,BOWEY,WASHINGTON,CAPITALS
"Sep 29, 2015",Assigned to the Hershey Bears (AHL).,MADISON,BOWEY,WASHINGTON,CAPITALS
"Sep 26, 2014",Returned to his junior team (Kelowna Rockets-WHL).,MADISON,BOWEY,WASHINGTON,CAPITALS
"Apr 02, 2014",Signed by the Washington Capitals to a three-year entry-level contract.,MADISON,BOWEY,WASHINGTON,CAPITALS
"Sep 16, 2013",Returned to his junior team (Kelowna-WHL).,MADISON,BOWEY,WASHINGTON,CAPITALS
