Date,Injury,Firstname,Lastname,City,TeamName
"Apr 11, 2017",Missed the last 4 regular season games (lower body injury).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Apr 04, 2017","Lower body injury, day-to-day.",JOHN,CARLSON,WASHINGTON,CAPITALS
"Jan 31, 2017",Missed 6 games (lower body injury).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Jan 16, 2017","Lower body injury, day-to-day.",JOHN,CARLSON,WASHINGTON,CAPITALS
"Mar 25, 2016",Missed 13 games (lower body injury).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Feb 28, 2016","Lower body injury, injured reserve.",JOHN,CARLSON,WASHINGTON,CAPITALS
"Feb 26, 2016","Lower body injury, day-to-day.",JOHN,CARLSON,WASHINGTON,CAPITALS
"Jan 27, 2016",Missed 12 games (lower body injury).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Jan 07, 2016","Lower body injury, injured reserve.",JOHN,CARLSON,WASHINGTON,CAPITALS
"Dec 28, 2015","Lower body injury, day-to-day.",JOHN,CARLSON,WASHINGTON,CAPITALS
"Sep 14, 2012",Re-signed as a restricted free agent by the Washington Capitals to a six-year contract extension.,JOHN,CARLSON,WASHINGTON,CAPITALS
"Jun 15, 2012",Washington Capitals tendered a qualifying offer.,JOHN,CARLSON,WASHINGTON,CAPITALS
"Apr 29, 2010",Assigned to Hershey (AHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Apr 09, 2010",Missed 4 games (upper body injury).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Apr 01, 2010","Upper body injury, day-to-day.",JOHN,CARLSON,WASHINGTON,CAPITALS
"Mar 03, 2010",Recalled from Hershey (AHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Feb 14, 2010",Assigned to Hershey (AHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Feb 13, 2010",Recalled from Hershey (AHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Jan 22, 2010",Assigned to Hershey (AHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Jan 21, 2010",Recalled from Hershey (AHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Jan 18, 2010",Assigned to Hershey (AHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Jan 15, 2010",Recalled from Hershey (AHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Nov 24, 2009",Assigned to Hershey (AHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Nov 19, 2009",Recalled from Hershey (AHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Sep 22, 2009",Assigned to Hershey (AHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
"Nov 13, 2008",Signed by the Washington Capitals to a three-year entry level contract.,JOHN,CARLSON,WASHINGTON,CAPITALS
"Sep 28, 2008",Returned to his junior team (London-OHL).,JOHN,CARLSON,WASHINGTON,CAPITALS
