Date,Injury,Firstname,Lastname,City,TeamName
"Oct 04, 2017",Signed as an unrestricted free agent by the Washington Capitals to a one-year contract.,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Sep 09, 2017",Signed by the Washington Capitals to a professional try-out contract.,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Jun 26, 2017",Calgary Flames did not tender a qualifying offer.,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Jun 27, 2016",Acquired from the Ottawa Senators.,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Jun 27, 2016",Re-signed by the Calgary Flames to a one-year contract.,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Jul 26, 2015",Re-signed as a restricted free agent by the Ottawa Senators to a one-year contract.,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Jul 05, 2015",Filed for salary arbitration.,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Feb 07, 2015",Missed 3 games (undisclosed).,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Jan 30, 2015","Undisclosed, day-to-day.",ALEX,CHIASSON,WASHINGTON,CAPITALS
"Nov 11, 2014",Missed 2 games (lower body injury).,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Nov 08, 2014","Lower body injury, day-to-day.",ALEX,CHIASSON,WASHINGTON,CAPITALS
"Nov 06, 2014",Missed 1 game (foot injury).,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Nov 04, 2014","Foot injury, day-to-day.",ALEX,CHIASSON,WASHINGTON,CAPITALS
"Jul 01, 2014",Acquired from the Dallas Stars.,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Mar 14, 2014",Missed 1 game (personal reasons).,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Mar 11, 2014","Personal reasons, day-to-day.",ALEX,CHIASSON,WASHINGTON,CAPITALS
"Dec 28, 2013",Missed 2 games (flu).,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Dec 23, 2013","Illness, day-to-day.",ALEX,CHIASSON,WASHINGTON,CAPITALS
"Apr 28, 2013",Assigned to Texas (AHL).,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Apr 27, 2013",Missed the last 6 regular season games (shoulder injury).,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Apr 18, 2013","Shoulder injury, day-to-day.",ALEX,CHIASSON,WASHINGTON,CAPITALS
"Apr 02, 2013",Recalled from Texas (AHL).,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Mar 22, 2013",Assigned to Texas (AHL).,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Mar 21, 2013",Recalled from Texas (AHL).,ALEX,CHIASSON,WASHINGTON,CAPITALS
"Sep 14, 2012",Assigned to Texas (AHL).,ALEX,CHIASSON,WASHINGTON,CAPITALS
