Date,Injury,Firstname,Lastname,City,TeamName
"Nov 12, 2017",Missed 7 games (concussion).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Oct 28, 2017","Concussion, day-to-day.",BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Jun 26, 2017",Washington Capitals did not tender a qualifying offer.,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Jun 26, 2017",Re-signed by the Washington Capitals to a two-year contract.,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Apr 11, 2017",Missed the last 2 regular season games (illness).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Apr 07, 2017","Illness, day-to-day.",BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Jul 01, 2016",Signed as an unrestricted free agent by the Washington Capitals to a one-year contract.,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Jun 27, 2016",Boston Bruins did not tender a qualifying offer.,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Apr 09, 2016",Missed the last 5 regular season games (lower body injury).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Mar 31, 2016","Lower body injury, day-to-day.",BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Jul 06, 2015",Re-signed as a restricted free agent by the Boston Bruins to a one-year contract.,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Apr 01, 2015",Missed 15 games (right finger injury).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Mar 04, 2015","Right finger injury, sidelined indefinitely.",BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Mar 02, 2015",Acquired from the Tampa Bay Lightning.,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Nov 20, 2014",Missed 12 games (lower body injury).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Oct 25, 2014","Lower body injury, day-to-day.",BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Jul 10, 2014",Re-signed as a restricted free agent by the Tampa Bay Lightning to a one-year contract.,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Jun 30, 2014",Tampa Bay Lightning tendered a qualifying offer.,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Nov 22, 2013",Assigned to Syracuse (AHL).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Oct 31, 2013",Recalled from Syracuse (AHL).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Oct 19, 2013",Assigned to Syracuse (AHL).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Oct 16, 2013",Recalled from Syracuse (AHL).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Sep 29, 2013",Assigned to Syracuse (AHL).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Apr 12, 2013",Assigned to Syracuse (AHL).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Apr 03, 2013",Recalled from Syracuse (AHL).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Sep 14, 2012",Assigned to Syracuse (AHL).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Dec 09, 2011",Loaned to Team Canada by the Tampa Bay Lightning.,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Jul 01, 2011",Signed by the Tampa Bay Lightning to a three-year entry-level contract.,BRETT,CONNOLLY,WASHINGTON,CAPITALS
"Sep 24, 2010",Returned to his junior team (Prince George-WHL).,BRETT,CONNOLLY,WASHINGTON,CAPITALS
