Date,Injury,Firstname,Lastname,City,TeamName
"Feb 10, 2018",Signed by the Washington Capitals to a five-year contract extension.,LARS,ELLER,WASHINGTON,CAPITALS
"Oct 20, 2017",Missed 1 game (illness).,LARS,ELLER,WASHINGTON,CAPITALS
"Oct 17, 2017","Illness, day-to-day.",LARS,ELLER,WASHINGTON,CAPITALS
"Nov 23, 2016",Missed 1 game (upper body injury).,LARS,ELLER,WASHINGTON,CAPITALS
"Nov 20, 2016","Upper body injury, day-to-day.",LARS,ELLER,WASHINGTON,CAPITALS
"Jun 24, 2016",Acquired from the Montreal Canadiens.,LARS,ELLER,WASHINGTON,CAPITALS
"Mar 16, 2016",Missed 2 games (illness).,LARS,ELLER,WASHINGTON,CAPITALS
"Mar 12, 2016","Illness, day-to-day.",LARS,ELLER,WASHINGTON,CAPITALS
"Mar 10, 2016",Missed 1 game (lower body injury).,LARS,ELLER,WASHINGTON,CAPITALS
"Mar 08, 2016","Lower body injury, day-to-day.",LARS,ELLER,WASHINGTON,CAPITALS
"Dec 18, 2014",Missed 4 games (upper body injury).,LARS,ELLER,WASHINGTON,CAPITALS
"Dec 06, 2014","Upper body injury, injured reserve.",LARS,ELLER,WASHINGTON,CAPITALS
"Jul 24, 2014",Re-signed as a restricted free agent by the Montreal Canadiens to a four-year contract.,LARS,ELLER,WASHINGTON,CAPITALS
"Jul 05, 2014",Filed for salary arbitration.,LARS,ELLER,WASHINGTON,CAPITALS
"Jun 30, 2014",Montreal Canadiens tendered a qualifying offer.,LARS,ELLER,WASHINGTON,CAPITALS
"Apr 16, 2014",Missed the last 3 regular season games (illness).,LARS,ELLER,WASHINGTON,CAPITALS
"Apr 09, 2014","Illness, day-to-day.",LARS,ELLER,WASHINGTON,CAPITALS
"Mar 25, 2014",Missed 1 game (knee injury).,LARS,ELLER,WASHINGTON,CAPITALS
"Mar 24, 2014","Knee injury, day-to-day.",LARS,ELLER,WASHINGTON,CAPITALS
"May 09, 2013",Missed the last 4 playoff games (concussion).,LARS,ELLER,WASHINGTON,CAPITALS
"May 03, 2013","Concussion, sidelined indefinitely.",LARS,ELLER,WASHINGTON,CAPITALS
"Oct 29, 2012",Signed with JYP Jyvaskyla (Finland).,LARS,ELLER,WASHINGTON,CAPITALS
"Jul 06, 2012",Re-signed as a restricted free agent by the Montreal Canadiens to a two-year contract.,LARS,ELLER,WASHINGTON,CAPITALS
"Jun 25, 2012",Montreal Canadiens tendered a qualifying offer.,LARS,ELLER,WASHINGTON,CAPITALS
"Dec 10, 2011","Fined $2,500 by the NHL.",LARS,ELLER,WASHINGTON,CAPITALS
"Oct 13, 2011",Missed 2 games (right shoulder surgery).,LARS,ELLER,WASHINGTON,CAPITALS
"Oct 05, 2011","Right shoulder surgery, injured reserve.",LARS,ELLER,WASHINGTON,CAPITALS
"Jun 17, 2010",Acquired from the St. Louis Blues.,LARS,ELLER,WASHINGTON,CAPITALS
"Apr 08, 2010",Recalled from Peoria (AHL).,LARS,ELLER,WASHINGTON,CAPITALS
"Nov 13, 2009",Assigned to Peoria (AHL).,LARS,ELLER,WASHINGTON,CAPITALS
"Nov 04, 2009",Recalled from Peoria (AHL).,LARS,ELLER,WASHINGTON,CAPITALS
"Sep 20, 2009",Assigned to Peoria (AHL).,LARS,ELLER,WASHINGTON,CAPITALS
"May 13, 2008",Signed by the St. Louis Blues.,LARS,ELLER,WASHINGTON,CAPITALS
