Date,Injury,Firstname,Lastname,City,TeamName
"Jul 24, 2015",Re-signed as a restricted free agent by the Washington Capitals to a five-year contract.,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Jul 05, 2015",Filed for salary arbitration.,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Apr 17, 2015","Illness, day-to-day.",BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Feb 25, 2013",Signed by the Washington Capitals to a two-year contract extension.,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Jan 13, 2013",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Sep 14, 2012",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Mar 31, 2012",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Mar 29, 2012",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Mar 18, 2012",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Mar 05, 2012",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Mar 04, 2012",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Feb 14, 2012",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Feb 13, 2012",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Oct 14, 2011",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Oct 13, 2011",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Sep 25, 2011",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Apr 26, 2011",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Mar 27, 2011",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Mar 26, 2011",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Mar 19, 2011",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Mar 03, 2011",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Jan 27, 2011",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Jan 19, 2011",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Nov 24, 2010",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Oct 25, 2010",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Sep 30, 2010",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Sep 29, 2010",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Sep 25, 2010",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Feb 05, 2010",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Jan 31, 2010",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Jan 28, 2010",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Jan 27, 2010",Recalled from Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Oct 17, 2009",Assigned to South Carolina (ECHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Oct 16, 2009",Recalled from South Carolina (ECHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Sep 20, 2009",Assigned to Hershey (AHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Oct 20, 2008",Signed by the Washington Capitals to a three-year entry level contract.,BRADEN,HOLTBY,WASHINGTON,CAPITALS
"Sep 25, 2008",Returned to his junior team (Saskatoon-WHL).,BRADEN,HOLTBY,WASHINGTON,CAPITALS
