Date,Injury,Firstname,Lastname,City,TeamName
"Jun 30, 2017",Signed by the Washington Capitals to a six-year contract extension.,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Jun 26, 2017",Washington Capitals tendered a qualifying offer.,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Sep 21, 2016",Re-signed as a restricted free agent by the Washington Capitals to a one-year contract.,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Jun 28, 2016",Washington Capitals tendered a qualifying offer.,DMITRY,ORLOV,WASHINGTON,CAPITALS
"May 13, 2015",Missed all 82 regular season and all 14 playoff games (broken wrist).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Mar 23, 2015",Assigned to the Hershey Bears (AHL) for conditioning purposes.,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Oct 07, 2014","Broken wrist, injured reserve.",DMITRY,ORLOV,WASHINGTON,CAPITALS
"Mar 13, 2014",Signed by the Washington Capitals to a two-year contract extension.,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Mar 07, 2014",Missed 2 games (suspended by nhl).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Mar 03, 2014",Suspended by the NHL for 2 games.,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Nov 30, 2013",Recalled from Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Nov 26, 2013",Assigned to Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Nov 25, 2013",Recalled from Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Nov 22, 2013",Assigned to Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Nov 17, 2013",Recalled from Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Nov 13, 2013",Assigned to Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Nov 04, 2013",Recalled from Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Nov 03, 2013",Assigned to Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Oct 30, 2013",Recalled from Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Sep 30, 2013",Assigned to Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"May 10, 2013",Recalled from Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Apr 02, 2013",Assigned to Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Mar 18, 2013",Recalled from Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Sep 14, 2012",Assigned to Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Feb 22, 2012",Missed 1 game (illness).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Feb 20, 2012","Illness, day-to-day.",DMITRY,ORLOV,WASHINGTON,CAPITALS
"Nov 20, 2011",Recalled from Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Oct 04, 2011",Assigned to Hershey (AHL).,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Mar 02, 2011",Signed by the Washington Capitals to a three-year entry level contract.,DMITRY,ORLOV,WASHINGTON,CAPITALS
"Feb 22, 2011",Signed with the Hershey Bears (AHL) to a professional tryout contract.,DMITRY,ORLOV,WASHINGTON,CAPITALS
