Date,Injury,Firstname,Lastname,City,TeamName
"Mar 02, 2017",Missed 3 games (lower body injury).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Feb 23, 2017","Lower body injury, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"May 08, 2016",Missed 3 games (suspended by nhl).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"May 01, 2016",Suspended by the NHL for 3 games.,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Apr 28, 2016",Missed the last 3 playoff games (upper body injury).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Apr 19, 2016","Upper body injury, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Feb 16, 2016",Missed 40 games (lower body injury).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Dec 08, 2015","Lower body injury, injured reserve.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Nov 12, 2015","Lower body injury, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Oct 06, 2015","Wrist injury, injured reserve.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Mar 19, 2015",Missed 4 games (lower body injury).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Mar 11, 2015","Lower body injury, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Jul 01, 2014",Signed as an unrestricted free agent by the Washington Capitals to a five-year contract.,BROOKS,ORPIK,WASHINGTON,CAPITALS
"May 13, 2014",Missed the last 3 playoff games (sprained right knee).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"May 09, 2014","Sprained right knee, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"May 07, 2014",Missed the last 5 playoff games (undisclosed).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Apr 26, 2014","Undisclosed, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Apr 13, 2014",Missed 1 game (undisclosed).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Apr 12, 2014","Undisclosed, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Apr 09, 2014",Missed 1 game (lower body injury).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Apr 06, 2014","Lower body injury, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Dec 27, 2013",Missed 8 games (concussion).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Dec 09, 2013","Concussion, injured reserve.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"May 07, 2013",Missed the last 2 regular season and first 3 playoff games (lower body injury).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Apr 25, 2013","Lower body injury, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Feb 25, 2012",Missed 1 game (upper body injury).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Feb 21, 2012","Upper body injury, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Oct 20, 2011",Missed 8 games (hernia surgery).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Oct 18, 2011","Hernia surgery, injured reserve.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Oct 06, 2011","Hernia surgery, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Mar 27, 2011",Missed 13 games (broken finger).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Feb 25, 2011","Broken finger, injured reserve.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Oct 23, 2010",Missed 6 games (groin).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Oct 11, 2010","Groin, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Apr 14, 2010",Missed the last game of the regular season (lower body injury).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Apr 11, 2010","Lower body injury, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Jan 19, 2010",Missed 4 games (lower body injury).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Jan 11, 2010","Lower body injury, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Nov 21, 2009",Missed 4 games (hip injury).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Nov 12, 2009","Hip injury, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Jan 30, 2009",Missed 3 games (undisclosed).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Jan 18, 2009","Undisclosed, day-to-day.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Jul 02, 2008",Re-signed as an unrestricted free agent by the Pittsburgh Penguins to a six-year contract.,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Nov 06, 2006",Missed 11 games (hand surgery).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Oct 05, 2006","Hand surgery, sidelined indefinitely.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Jul 23, 2006",Re-signed as a restricted free agent by the Pittsburgh Penguins to a two-year contract.,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Mar 06, 2006",Suspended by the NHL for three games.,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Jan 21, 2006",Missed 12 games (shoulder injury).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Jan 19, 2006","Broken foot, late January.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Dec 27, 2005","Broken foot, sidelined indefinitely.",BROOKS,ORPIK,WASHINGTON,CAPITALS
"Sep 13, 2005",Re-signed as a restricted free agent by the Pittsburgh Penguins to a one-year contract.,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Apr 05, 2004",Assigned to Wilkes-Barre/Scranton (AHL) for conditioning.,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Oct 11, 2003",Suspended by the NHL for one game.,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Dec 31, 2002",Assigned to Wilkes-Barre/Scranton (AHL).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Dec 09, 2002",Recalled from Wilkes-Barre/Scranton (AHL).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Oct 05, 2002",Assigned to Wilkes-Barre/Scranton (AHL).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Oct 02, 2001",Assigned to Wilkes-Barre/Scranton (AHL).,BROOKS,ORPIK,WASHINGTON,CAPITALS
"Aug 14, 2001",Re-signed by the Pittsburgh Penguins.,BROOKS,ORPIK,WASHINGTON,CAPITALS
