Date,Injury,Firstname,Lastname,City,TeamName
"Feb 03, 2018","Fined $5,000 by the NHL.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Dec 19, 2017",Missed 6 games (upper body injury).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Dec 05, 2017","Upper body injury, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Jun 23, 2017",Signed by the Washington Capitals to an eight-year contract extension.,T.J.,OSHIE,WASHINGTON,CAPITALS
"Mar 04, 2017",Missed 4 games (upper body injury).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Feb 24, 2017","Upper body injury, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Jan 31, 2017",Missed 1 game (personal reasons).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Jan 26, 2017","Personal reasons, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Jan 11, 2017",Missed 1 game (upper body injury).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Jan 09, 2017","Upper body injury, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Dec 07, 2016",Missed 7 games (upper body injury).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Nov 19, 2016","Upper body injury, sidelined indefinitely.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Mar 28, 2016",Missed 2 games (illness).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Mar 25, 2016","Illness, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Jul 02, 2015",Acquired from the St. Louis Blues.,T.J.,OSHIE,WASHINGTON,CAPITALS
"Mar 30, 2015",Missed 1 game (illness).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Mar 28, 2015","Illness, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Dec 18, 2014",Missed 1 game (personal reasons).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Dec 16, 2014","Personal reasons, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Nov 13, 2014",Missed 7 games (concussion).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Nov 03, 2014","Concussion, injured reserve.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Oct 30, 2014","Concussion, sidelined indefinitely.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Apr 19, 2014",Missed the last 2 regular season and first playoff games (upper body injury).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Apr 11, 2014","Upper body injury, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Mar 19, 2014",Missed 1 game (personal reasons).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Mar 17, 2014","Personal reasons, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Apr 30, 2013",Missed the last 15 regular season games (foot injury).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Apr 02, 2013","Foot injury, injured reserve.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Apr 01, 2013","Foot injury, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Mar 23, 2013",Missed 3 games (bruised ribs).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Mar 16, 2013","Bruised ribs, injured reserve.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Mar 14, 2013","Upper body injury, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Jul 19, 2012",Re-signed as a restricted free agent by the St. Louis Blues to a five-year contract.,T.J.,OSHIE,WASHINGTON,CAPITALS
"Dec 30, 2011",Missed 2 games (wrist injury).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Dec 26, 2011","Wrist injury, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Jun 30, 2011",Re-signed by the St. Louis Blues to a one-year contract.,T.J.,OSHIE,WASHINGTON,CAPITALS
"Jun 28, 2011",St. Louis Blues tendered a qualifying offer.,T.J.,OSHIE,WASHINGTON,CAPITALS
"Jan 18, 2011",Missed 31 games (left ankle surgery).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Nov 11, 2010","Left ankle surgery, injured reserve.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Apr 11, 2010",Missed the last 2 games of the regular season (upper body injury).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Apr 09, 2010","Upper body injury, day-to-day.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Nov 05, 2009",Missed 4 games (appendectomy).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Oct 24, 2009","Appendectomy, sidelined indefinitely.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Dec 30, 2008",Missed 11 games (left ankle injury).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Dec 08, 2008","Left ankle injury, sidelined indefinitely.",T.J.,OSHIE,WASHINGTON,CAPITALS
"Dec 05, 2008",Missed 13 games (ankle injury).,T.J.,OSHIE,WASHINGTON,CAPITALS
"Nov 03, 2008","Ankle injury, sidelined indefinitely.",T.J.,OSHIE,WASHINGTON,CAPITALS
"May 13, 2008",Signed by the St. Louis Blues.,T.J.,OSHIE,WASHINGTON,CAPITALS
