Date,Injury,Firstname,Lastname,City,TeamName
"Dec 05, 2017",Missed 1 game (upper body injury).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Dec 04, 2017","Upper body injury, day-to-day.",CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Oct 24, 2017",Recalled from the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Oct 05, 2017",Placed on waivers by the Washington Capitals for the purpose of being assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Jun 29, 2017",Signed by the Washington Capitals to a two-year contract extension.,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Jun 26, 2017",Washington Capitals tendered a qualifying offer.,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"May 06, 2017",Assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"May 01, 2017",Recalled from the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Apr 28, 2017",Assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Apr 21, 2017",Recalled from the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Apr 11, 2017",Assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Apr 09, 2017",Recalled from the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Feb 02, 2017",Assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Jan 30, 2017",Recalled from the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Jan 27, 2017",Assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Jan 24, 2017",Recalled from the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Jan 17, 2017",Assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Jan 14, 2017",Recalled from the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Oct 04, 2016",Assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Nov 13, 2015",Assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Oct 15, 2015",Recalled from the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Oct 05, 2015",Assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Oct 08, 2014",Assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Oct 08, 2014",Recalled from the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Sep 28, 2014",Assigned to the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Apr 12, 2014",Signed by the Washington Capitals to a three-year entry-level contract.,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Sep 19, 2013",Returned to his junior team (Regina-WHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
"Mar 26, 2013",Signed by the Hershey Bears (AHL).,CHANDLER,STEPHENSON,WASHINGTON,CAPITALS
