Date,Injury,Firstname,Lastname,City,TeamName
"Oct 12, 2017",Missed 4 games (suspended by nhl).,TOM,WILSON,WASHINGTON,CAPITALS
"Oct 03, 2017",Suspended by the NHL for 4 games.,TOM,WILSON,WASHINGTON,CAPITALS
"Oct 03, 2017","Fined $97,560 by the NHL.",TOM,WILSON,WASHINGTON,CAPITALS
"Sep 23, 2017",Suspended by the NHL for 2 preseason games.,TOM,WILSON,WASHINGTON,CAPITALS
"Jun 30, 2016",Re-signed by the Washington Capitals to a two-year contract.,TOM,WILSON,WASHINGTON,CAPITALS
"Jun 28, 2016",Washington Capitals tendered a qualifying offer.,TOM,WILSON,WASHINGTON,CAPITALS
"Apr 29, 2016","Fined $2,403 by the NHL.",TOM,WILSON,WASHINGTON,CAPITALS
"Apr 17, 2015",Missed the last 2 regular season and first playoff games (head injury).,TOM,WILSON,WASHINGTON,CAPITALS
"Apr 08, 2015","Head injury, day-to-day.",TOM,WILSON,WASHINGTON,CAPITALS
"Mar 27, 2015","Fined $2,000 by the NHL.",TOM,WILSON,WASHINGTON,CAPITALS
"Nov 15, 2014",Missed 2 games (lower body injury).,TOM,WILSON,WASHINGTON,CAPITALS
"Nov 11, 2014","Lower body injury, day-to-day.",TOM,WILSON,WASHINGTON,CAPITALS
"Oct 28, 2014",Recalled from the Hershey Bears (AHL).,TOM,WILSON,WASHINGTON,CAPITALS
"Oct 20, 2014",Missed 5 games (fibula).,TOM,WILSON,WASHINGTON,CAPITALS
"Oct 20, 2014",Assigned to the Hershey Bears (AHL).,TOM,WILSON,WASHINGTON,CAPITALS
"Oct 07, 2014","Fibula, injured reserve.",TOM,WILSON,WASHINGTON,CAPITALS
"May 09, 2013",Recalled from Hershey (AHL).,TOM,WILSON,WASHINGTON,CAPITALS
"Apr 30, 2013",Re-assigned to Hershey (AHL).,TOM,WILSON,WASHINGTON,CAPITALS
"Jan 16, 2013",Assigned to Plymouth (OHL).,TOM,WILSON,WASHINGTON,CAPITALS
"Jan 10, 2013",Recalled from Plymouth (OHL).,TOM,WILSON,WASHINGTON,CAPITALS
"Sep 14, 2012",Returned to his junior team (Plymouth-OHL).,TOM,WILSON,WASHINGTON,CAPITALS
"Jul 18, 2012",Signed by the Washington Capitals to a three-year entry-level contract.,TOM,WILSON,WASHINGTON,CAPITALS
