Date,Injury,Firstname,Lastname,City,TeamName
"Dec 19, 2017",Acquired from the Pittsburgh Penguins.,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Dec 11, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Dec 01, 2017",Assigned to the Wilkes-Barre/Scranton Penguins (AHL) for conditioning purposes.,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Jul 12, 2017",Re-signed as a restricted free agent by the Pittsburgh Penguins to a two-year contract.,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Jun 26, 2017",Pittsburgh Penguins tendered a qualifying offer.,JOSH,ARCHIBALD,ARIZONA,COYOTES
"May 02, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Apr 21, 2017",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Apr 01, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Mar 30, 2017",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Mar 23, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Mar 16, 2017",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Mar 13, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Feb 17, 2017",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Feb 10, 2017",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Oct 03, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"May 20, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Mar 06, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Mar 04, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Sep 30, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Apr 09, 2015",Re-assigned to the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Apr 08, 2015",Re-assigned to the Wheeling Nailers (ECHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Feb 23, 2015",Re-assigned to the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Feb 04, 2015",Re-assigned to the Wheeling Nailers (ECHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Sep 24, 2014",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,JOSH,ARCHIBALD,ARIZONA,COYOTES
"May 16, 2014",Signed by the Pittsburgh Penguins to a three-year entry-level contract.,JOSH,ARCHIBALD,ARIZONA,COYOTES
"Mar 22, 2014",Signed with the Wilkes-Barre/Scranton Penguins (AHL) to an amateur try-out contract.,JOSH,ARCHIBALD,ARIZONA,COYOTES
