Date,Injury,Firstname,Lastname,City,TeamName
"Oct 17, 2017",Missed 2 games (lower body injury).,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Oct 12, 2017","Lower body injury, day-to-day.",KEVIN,CONNAUTON,ARIZONA,COYOTES
"Apr 02, 2017",Missed 15 games (upper body injury).,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Mar 03, 2017","Upper body injury, sidelined indefinitely.",KEVIN,CONNAUTON,ARIZONA,COYOTES
"Jan 02, 2017",Recalled from his conditioning assignment with the Tucson Roadrunners (AHL).,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Dec 30, 2016",Assigned to the Tucson Roadrunners (AHL) for conditioning purposes.,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Oct 18, 2016",Missed 1 game (lower body injury).,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Oct 11, 2016","Lower body injury, injured reserve.",KEVIN,CONNAUTON,ARIZONA,COYOTES
"Jul 01, 2016",Re-signed as an unrestricted free agent by the Arizona Coyotes to a one-year contract.,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Jun 27, 2016",Arizona Coyotes did not tender a qualifying offer.,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Jan 13, 2016",Claimed off waivers from the Columbus Blue Jackets.,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Jan 12, 2016",Placed on waivers by the Columbus Blue Jackets.,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Mar 10, 2015",Missed 6 games (lower body injury).,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Feb 26, 2015","Lower body injury, day-to-day.",KEVIN,CONNAUTON,ARIZONA,COYOTES
"Nov 18, 2014",Claimed off waivers from the Dallas Stars.,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Nov 17, 2014",Placed on waivers by the Dallas Stars.,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Nov 08, 2013",Loaned to Texas (AHL) for conditioning.,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Jun 13, 2013",Re-signed by the Dallas Stars to a three-year contract.,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Apr 03, 2013",Assigned to Texas (AHL).,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Apr 02, 2013",Acquired from the Vancouver Canucks.,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Jan 18, 2013",Assigned to Chicago (AHL).,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Jan 13, 2013",Recalled from Chicago (AHL).,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Sep 14, 2012",Assigned to Chicago (AHL).,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Sep 25, 2011",Assigned to Chicago (AHL).,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Sep 27, 2010",Assigned to Manitoba (AHL).,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Apr 28, 2010",Signed by the Vancouver Canucks to a three-year entry-level contract.,KEVIN,CONNAUTON,ARIZONA,COYOTES
"Sep 16, 2009",Returned to his junior team (Vancouver-WHL).,KEVIN,CONNAUTON,ARIZONA,COYOTES
