Date,Injury,Firstname,Lastname,City,TeamName
"Feb 10, 2018",Missed 1 game (lower body injury).,CHRISTIAN,FISCHER,ARIZONA,COYOTES
"Feb 08, 2018","Lower body injury, day-to-day.",CHRISTIAN,FISCHER,ARIZONA,COYOTES
"Mar 31, 2017",Assigned to the Tucson Roadrunners (AHL).,CHRISTIAN,FISCHER,ARIZONA,COYOTES
"Mar 21, 2017",Recalled from the Tucson Roadrunners (AHL) on an emergency basis.,CHRISTIAN,FISCHER,ARIZONA,COYOTES
"Jan 27, 2017",Assigned to the Tucson Roadrunners (AHL).,CHRISTIAN,FISCHER,ARIZONA,COYOTES
"Jan 20, 2017",Recalled from the Tucson Roadrunners (AHL).,CHRISTIAN,FISCHER,ARIZONA,COYOTES
"Oct 08, 2016",Assigned to the Tucson Roadrunners (AHL).,CHRISTIAN,FISCHER,ARIZONA,COYOTES
"Apr 07, 2016",Re-assigned to the Springfield Falcons (AHL).,CHRISTIAN,FISCHER,ARIZONA,COYOTES
"Sep 23, 2015",Returned to his junior team (Windsor Spitfires-OHL).,CHRISTIAN,FISCHER,ARIZONA,COYOTES
"Aug 20, 2015",Signed by the Arizona Coyotes to a three-year entry-level contract.,CHRISTIAN,FISCHER,ARIZONA,COYOTES
