Date,Injury,Firstname,Lastname,City,TeamName
"Jan 04, 2018",Claimed off waivers from the Calgary Flames.,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Jan 03, 2018",Placed on waivers by the Calgary Flames.,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Nov 01, 2017",Placed on waivers by the Calgary Flames.,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Sep 23, 2016",Re-signed as a restricted free agent by the Calgary Flames to a two-year contract.,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Jun 27, 2016",Calgary Flames tendered a qualifying offer.,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Mar 28, 2016",Assigned to the Stockton Heat (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Mar 16, 2016",Recalled from the Stockton Heat (AHL) on an emergency basis.,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Oct 04, 2015",Acquired from the Colorado Avalanche.,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Sep 25, 2015",Assigned to the San Antonio Rampage (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Sep 16, 2015",Re-signed as a restricted free agent by the Colorado Avalanche to a one-year contract.,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Apr 12, 2015",Assigned to the Lake Erie Monsters (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Mar 07, 2015",Recalled from the Lake Erie Monsters (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Mar 02, 2015",Acquired from the San Jose Sharks.,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Mar 02, 2015",Re-assigned to the Lake Erie Monsters (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Jan 12, 2015",Assigned to the Worcester Sharks (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Jan 05, 2015",Recalled from the Worcester Sharks (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Sep 29, 2014",Assigned to the Worcester Sharks (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Apr 22, 2014",Recalled from the Worcester Sharks (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Mar 28, 2014",Assigned to the Worcester Sharks (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Mar 27, 2014",Recalled from the Worcester Sharks (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Jan 09, 2014",Assigned to the Worcester Sharks (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Jan 06, 2014",Recalled from the Worcester Sharks (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Jan 05, 2014",Assigned to the Worcester Sharks (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Dec 31, 2013",Recalled from the Worcester Sharks (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Dec 13, 2013",Assigned to Worcester (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Dec 07, 2013",Recalled from Worcester (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Oct 31, 2013",Assigned to Worcester (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Oct 21, 2013",Recalled from Worcester (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Oct 02, 2013",Assigned to Worcester (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"May 01, 2013",Recalled from Worcester (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Sep 17, 2012",Assigned to Worcester (AHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Sep 21, 2011",Returned to his junior team (Niagara-OHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
"May 27, 2011",Signed by the San Jose Sharks to a three-year entry-level contract.,FREDDIE,HAMILTON,ARIZONA,COYOTES
"Sep 17, 2010",Returned to his junior team (Niagara-OHL).,FREDDIE,HAMILTON,ARIZONA,COYOTES
