Date,Injury,Firstname,Lastname,City,TeamName
"Oct 12, 2017",Missed 1 game (lower body injury).,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Oct 10, 2017","Lower body injury, day-to-day.",JORDAN,MARTINOOK,ARIZONA,COYOTES
"Jul 22, 2017",Re-signed as a restricted free agent by the Arizona Coyotes to a two-year contract.,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Jul 05, 2017",Filed for salary arbitration.,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Jun 26, 2017",Arizona Coyotes tendered a qualifying offer.,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Jan 26, 2017",Missed 1 game (upper body injury).,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Jan 23, 2017","Upper body injury, day-to-day.",JORDAN,MARTINOOK,ARIZONA,COYOTES
"Jan 16, 2017",Missed 3 games (upper body injury).,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Jan 07, 2017","Upper body injury, day-to-day.",JORDAN,MARTINOOK,ARIZONA,COYOTES
"Oct 20, 2015",Missed 1 game (lower body injury).,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Oct 17, 2015","Lower body injury, day-to-day.",JORDAN,MARTINOOK,ARIZONA,COYOTES
"Jul 20, 2015",Re-signed as a restricted free agent by the Arizona Coyotes to a two-year contract.,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Feb 25, 2015",Assigned to the Portland Pirates (AHL).,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Feb 12, 2015",Recalled from the Portland Pirates (AHL).,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Dec 12, 2014",Assigned to the Portland Pirates (AHL).,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Dec 05, 2014",Recalled from the Portland Pirates (AHL).,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Sep 27, 2014",Assigned to the Portland Pirates (AHL).,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Sep 19, 2013",Assigned to Portland (AHL).,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Sep 15, 2012",Assigned to Portland (AHL).,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Sep 01, 2012",Signed by the Phoenix Coyotes to a three-year entry-level contract.,JORDAN,MARTINOOK,ARIZONA,COYOTES
"Sep 01, 2012",Signed by the Phoenix Coyotes to a three-year entry-level contract.,JORDAN,MARTINOOK,ARIZONA,COYOTES
