Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2018",Missed 2 games (lower body injury).,RICHARD,PANIK,ARIZONA,COYOTES
"Feb 24, 2018","Lower body injury, day-to-day.",RICHARD,PANIK,ARIZONA,COYOTES
"Jan 10, 2018",Acquired from the Chicago Blackhawks.,RICHARD,PANIK,ARIZONA,COYOTES
"May 11, 2017",Signed by the Chicago Blackhawks to a two-year contract extension.,RICHARD,PANIK,ARIZONA,COYOTES
"Jun 15, 2016",Signed by the Chicago Blackhawks to a one-year contract extension.,RICHARD,PANIK,ARIZONA,COYOTES
"Jan 12, 2016",Recalled from the Rockford IceHogs (AHL).,RICHARD,PANIK,ARIZONA,COYOTES
"Jan 04, 2016",Acquired from the Toronto Maple Leafs.,RICHARD,PANIK,ARIZONA,COYOTES
"Oct 07, 2015",Assigned to the Toronto Marlies (AHL).,RICHARD,PANIK,ARIZONA,COYOTES
"Jul 01, 2015",Re-signed as a free agent by the Toronto Maple Leafs to a one-year contract.,RICHARD,PANIK,ARIZONA,COYOTES
"Mar 05, 2015","Fined $2,000 by the NHL.",RICHARD,PANIK,ARIZONA,COYOTES
"Jan 02, 2015",Missed 2 games (upper body injury).,RICHARD,PANIK,ARIZONA,COYOTES
"Dec 29, 2014","Upper body injury, day-to-day.",RICHARD,PANIK,ARIZONA,COYOTES
"Oct 09, 2014",Claimed off waivers from the Tampa Bay Lightning.,RICHARD,PANIK,ARIZONA,COYOTES
"Oct 08, 2014",Placed on waivers by the Tampa Bay Lightning.,RICHARD,PANIK,ARIZONA,COYOTES
"Jul 11, 2014",Re-signed as a restricted free agent by the Tampa Bay Lightning to a one-year two-way contract.,RICHARD,PANIK,ARIZONA,COYOTES
"Jun 30, 2014",Tampa Bay Lightning tendered a qualifying offer.,RICHARD,PANIK,ARIZONA,COYOTES
"Mar 05, 2014",Recalled from the Syracuse Crunch (AHL).,RICHARD,PANIK,ARIZONA,COYOTES
"Jan 24, 2014",Assigned to the Syracuse Crunch (AHL).,RICHARD,PANIK,ARIZONA,COYOTES
"Dec 15, 2013",Missed 2 games (suspended by nhl).,RICHARD,PANIK,ARIZONA,COYOTES
"Dec 11, 2013",Suspended by the NHL for 2 games.,RICHARD,PANIK,ARIZONA,COYOTES
"Apr 26, 2013",Assigned to Syracuse (AHL).,RICHARD,PANIK,ARIZONA,COYOTES
"Mar 21, 2013",Recalled from Syracuse (AHL).,RICHARD,PANIK,ARIZONA,COYOTES
"Mar 01, 2013",Assigned to Syracuse (AHL).,RICHARD,PANIK,ARIZONA,COYOTES
"Feb 11, 2013",Recalled from Syracuse (AHL).,RICHARD,PANIK,ARIZONA,COYOTES
"Sep 14, 2012",Assigned to Syracuse (AHL).,RICHARD,PANIK,ARIZONA,COYOTES
"Sep 25, 2011",Assigned to Norfolk (AHL).,RICHARD,PANIK,ARIZONA,COYOTES
"May 12, 2011",Signed by the Tampa Bay Lightning to a three-year entry-level contract.,RICHARD,PANIK,ARIZONA,COYOTES
"Sep 24, 2010",Returned to his junior team (Belleville-OHL).,RICHARD,PANIK,ARIZONA,COYOTES
"Sep 19, 2009",Returned to his junior team (Windsor-OHL).,RICHARD,PANIK,ARIZONA,COYOTES
