Date,Injury,Firstname,Lastname,City,TeamName
"Oct 26, 2017",Missed 6 games (upper body injury).,BRENDAN,PERLINI,ARIZONA,COYOTES
"Oct 11, 2017","Upper body injury, injured reserve.",BRENDAN,PERLINI,ARIZONA,COYOTES
"Jan 12, 2017",Recalled from the Tucson Roadrunners (AHL).,BRENDAN,PERLINI,ARIZONA,COYOTES
"Jan 08, 2017",Assigned to the Tucson Roadrunners (AHL).,BRENDAN,PERLINI,ARIZONA,COYOTES
"Dec 04, 2016",Recalled from the Tucson Roadrunners (AHL).,BRENDAN,PERLINI,ARIZONA,COYOTES
"Oct 02, 2016",Assigned to the Tucson Roadrunners (AHL).,BRENDAN,PERLINI,ARIZONA,COYOTES
"Sep 27, 2015",Returned to his junior team (Niagara IceDogs-OHL).,BRENDAN,PERLINI,ARIZONA,COYOTES
"Apr 23, 2015",Re-assigned to the Portland Pirates (AHL).,BRENDAN,PERLINI,ARIZONA,COYOTES
"Dec 03, 2014",Returned to his junior team (Niagara IceDogs-OHL).,BRENDAN,PERLINI,ARIZONA,COYOTES
"Oct 09, 2014","Broken right hand, injured reserve.",BRENDAN,PERLINI,ARIZONA,COYOTES
"Sep 21, 2014","Broken right hand, sidelined indefinitely.",BRENDAN,PERLINI,ARIZONA,COYOTES
"Jul 18, 2014",Signed by the Arizona Coyotes to a three-year entry-level contract.,BRENDAN,PERLINI,ARIZONA,COYOTES
