Date,Injury,Firstname,Lastname,City,TeamName
"Feb 06, 2018",Missed 2 games (upper body injury).,ANTTI,RAANTA,ARIZONA,COYOTES
"Feb 01, 2018","Undisclosed, day-to-day.",ANTTI,RAANTA,ARIZONA,COYOTES
"Dec 05, 2017",Missed 6 games (upper body injury).,ANTTI,RAANTA,ARIZONA,COYOTES
"Nov 29, 2017","Upper body injury, injured reserve.",ANTTI,RAANTA,ARIZONA,COYOTES
"Nov 23, 2017","Upper body injury, day-to-day.",ANTTI,RAANTA,ARIZONA,COYOTES
"Nov 02, 2017",Missed 9 games (lower body injury).,ANTTI,RAANTA,ARIZONA,COYOTES
"Oct 29, 2017","Lower body injury, injured reserve.",ANTTI,RAANTA,ARIZONA,COYOTES
"Oct 14, 2017","Lower body injury, day-to-day.",ANTTI,RAANTA,ARIZONA,COYOTES
"Jun 23, 2017",Acquired from the New York Rangers.,ANTTI,RAANTA,ARIZONA,COYOTES
"Apr 12, 2017",Missed the last regular season game (knee injury).,ANTTI,RAANTA,ARIZONA,COYOTES
"Apr 09, 2017","Knee injury, day-to-day.",ANTTI,RAANTA,ARIZONA,COYOTES
"Feb 05, 2017",Missed 1 game (personal reasons).,ANTTI,RAANTA,ARIZONA,COYOTES
"Feb 02, 2017","Personal reasons, day-to-day.",ANTTI,RAANTA,ARIZONA,COYOTES
"Jan 31, 2017",Missed 5 games (lower body injury).,ANTTI,RAANTA,ARIZONA,COYOTES
"Jan 17, 2017","Lower body injury, injured reserve.",ANTTI,RAANTA,ARIZONA,COYOTES
"May 02, 2016",Signed by the New York Rangers to a two-year contract extension.,ANTTI,RAANTA,ARIZONA,COYOTES
"Dec 28, 2015",Missed 3 games (head injury).,ANTTI,RAANTA,ARIZONA,COYOTES
"Dec 18, 2015","Head injury, sidelined indefinitely.",ANTTI,RAANTA,ARIZONA,COYOTES
"Jun 27, 2015",Acquired from the Chicago Blackhawks.,ANTTI,RAANTA,ARIZONA,COYOTES
"Apr 12, 2015",Recalled from the Rockford IceHogs (AHL).,ANTTI,RAANTA,ARIZONA,COYOTES
"Feb 22, 2015",Assigned to the Rockford IceHogs (AHL).,ANTTI,RAANTA,ARIZONA,COYOTES
"Nov 17, 2014",Recalled from the Rockford IceHogs (AHL).,ANTTI,RAANTA,ARIZONA,COYOTES
"Nov 15, 2014",Assigned to the Rockford IceHogs (AHL).,ANTTI,RAANTA,ARIZONA,COYOTES
"Jun 27, 2014",Signed by the Chicago Blackhawks to a two-year contract extension.,ANTTI,RAANTA,ARIZONA,COYOTES
"Nov 17, 2013",Recalled from Rockford (AHL).,ANTTI,RAANTA,ARIZONA,COYOTES
"Sep 28, 2013",Recalled from Rockford (AHL).,ANTTI,RAANTA,ARIZONA,COYOTES
"Sep 28, 2013",Assigned to Rockford (AHL).,ANTTI,RAANTA,ARIZONA,COYOTES
"Sep 24, 2013",Assigned to Rockford (AHL).,ANTTI,RAANTA,ARIZONA,COYOTES
"Jun 03, 2013",Signed as a free agent by the Chicago Blackhawks to a one-year entry-level contract.,ANTTI,RAANTA,ARIZONA,COYOTES
