Date,Injury,Firstname,Lastname,City,TeamName
"Jan 13, 2018",Missed 6 games (suspended by nhl).,ZAC,RINALDO,ARIZONA,COYOTES
"Dec 27, 2017",Suspended by the NHL for 6 games.,ZAC,RINALDO,ARIZONA,COYOTES
"Dec 27, 2017","Fined $22,580 by the NHL.",ZAC,RINALDO,ARIZONA,COYOTES
"Dec 19, 2017",Missed 2 games (illness).,ZAC,RINALDO,ARIZONA,COYOTES
"Dec 14, 2017","Illness, day-to-day.",ZAC,RINALDO,ARIZONA,COYOTES
"Oct 15, 2017",Missed 5 games (suspended by nhl).,ZAC,RINALDO,ARIZONA,COYOTES
"Oct 03, 2017",Suspended by the NHL for 5 games.,ZAC,RINALDO,ARIZONA,COYOTES
"Jul 01, 2017",Signed as an unrestricted free agent by the Arizona Coyotes to a one-year two-way contract.,ZAC,RINALDO,ARIZONA,COYOTES
"Oct 07, 2016",Placed on waivers by the Boston Bruins for the purpose of being assigned to the Providence Bruins (AHL).,ZAC,RINALDO,ARIZONA,COYOTES
"Mar 01, 2016","Fined $51,829 by the NHL.",ZAC,RINALDO,ARIZONA,COYOTES
"Mar 01, 2016",Suspended by the NHL for 5 games.,ZAC,RINALDO,ARIZONA,COYOTES
"Feb 29, 2016",Assigned to the Providence Bruins (AHL).,ZAC,RINALDO,ARIZONA,COYOTES
"Feb 28, 2016",Placed on waivers by the Boston Bruins.,ZAC,RINALDO,ARIZONA,COYOTES
"Dec 22, 2015",Missed 3 games (upper body injury).,ZAC,RINALDO,ARIZONA,COYOTES
"Dec 15, 2015","Upper body injury, injured reserve.",ZAC,RINALDO,ARIZONA,COYOTES
"Jun 29, 2015",Acquired from the Philadelphia Flyers.,ZAC,RINALDO,ARIZONA,COYOTES
"Feb 16, 2015",Missed 8 games (suspended by nhl).,ZAC,RINALDO,ARIZONA,COYOTES
"Jan 26, 2015",Suspended by the NHL for 8 games.,ZAC,RINALDO,ARIZONA,COYOTES
"Dec 23, 2014",Missed 1 game (upper body injury).,ZAC,RINALDO,ARIZONA,COYOTES
"Dec 21, 2014","Upper body injury, day-to-day.",ZAC,RINALDO,ARIZONA,COYOTES
"Oct 28, 2014",Missed 1 game (upper body injury).,ZAC,RINALDO,ARIZONA,COYOTES
"Oct 25, 2014","Upper body injury, day-to-day.",ZAC,RINALDO,ARIZONA,COYOTES
"Sep 02, 2014",Signed by the Philadelphia Flyers to a two-year contract extension.,ZAC,RINALDO,ARIZONA,COYOTES
"Apr 14, 2014",Missed 4 games (suspended by nhl).,ZAC,RINALDO,ARIZONA,COYOTES
"Apr 07, 2014",Suspended by the NHL for 4 games.,ZAC,RINALDO,ARIZONA,COYOTES
"Mar 15, 2014",Missed 1 game (upper body injury).,ZAC,RINALDO,ARIZONA,COYOTES
"Mar 11, 2014","Upper body injury, day-to-day.",ZAC,RINALDO,ARIZONA,COYOTES
"Jan 30, 2014",Missed 10 games (left ankle injury).,ZAC,RINALDO,ARIZONA,COYOTES
"Jan 10, 2014","Left ankle injury, injured reserve.",ZAC,RINALDO,ARIZONA,COYOTES
"Jan 09, 2014","Left ankle injury, sidelined indefinitely.",ZAC,RINALDO,ARIZONA,COYOTES
"Apr 27, 2013",Missed the last 12 regular season games (lower body injury).,ZAC,RINALDO,ARIZONA,COYOTES
"Apr 17, 2013",Signed by the Philadelphia Flyers to a two-year contract extension.,ZAC,RINALDO,ARIZONA,COYOTES
"Apr 04, 2013","Lower body injury, day-to-day.",ZAC,RINALDO,ARIZONA,COYOTES
"Jan 29, 2013",Missed 4 games (right leg injury).,ZAC,RINALDO,ARIZONA,COYOTES
"Jan 21, 2013","Right leg injury, injured reserve.",ZAC,RINALDO,ARIZONA,COYOTES
"Jan 10, 2013",Recalled from Adirondack (AHL).,ZAC,RINALDO,ARIZONA,COYOTES
"Sep 15, 2012",Assigned to Adirondack (AHL).,ZAC,RINALDO,ARIZONA,COYOTES
"Feb 21, 2012",Missed 2 games (suspended by nhl).,ZAC,RINALDO,ARIZONA,COYOTES
"Feb 13, 2012",Suspended by the NHL for 2 games.,ZAC,RINALDO,ARIZONA,COYOTES
"Feb 04, 2012","Fined $5,000 by the NHL.",ZAC,RINALDO,ARIZONA,COYOTES
"Feb 02, 2012",Missed 3 games (upper body injury).,ZAC,RINALDO,ARIZONA,COYOTES
"Jan 22, 2012","Upper body injury, injured reserve.",ZAC,RINALDO,ARIZONA,COYOTES
"Jan 21, 2012",Missed 2 games (head injury).,ZAC,RINALDO,ARIZONA,COYOTES
"Jan 17, 2012","Head injury, day-to-day.",ZAC,RINALDO,ARIZONA,COYOTES
"Oct 27, 2011",Recalled from Adirondack (AHL).,ZAC,RINALDO,ARIZONA,COYOTES
"Oct 19, 2011",Loaned to Adirondack (AHL).,ZAC,RINALDO,ARIZONA,COYOTES
"Apr 13, 2011",Recalled from Adirondack (AHL).,ZAC,RINALDO,ARIZONA,COYOTES
"Sep 26, 2010",Assigned to Adirondack (AHL).,ZAC,RINALDO,ARIZONA,COYOTES
"Sep 21, 2009",Returned to his junior team (London-OHL).,ZAC,RINALDO,ARIZONA,COYOTES
"Aug 11, 2009",Signed by the Philadelphia Flyers to a three-year entry-level contract.,ZAC,RINALDO,ARIZONA,COYOTES
"Sep 24, 2008",Returned to his junior team (Mississauga-OHL).,ZAC,RINALDO,ARIZONA,COYOTES
