Date,Injury,Firstname,Lastname,City,TeamName
"Jun 23, 2017",Acquired from the New York Rangers.,DEREK,STEPAN,ARIZONA,COYOTES
"Dec 18, 2015",Missed 10 games (broken rib).,DEREK,STEPAN,ARIZONA,COYOTES
"Nov 27, 2015","Broken rib, sidelined indefinitely.",DEREK,STEPAN,ARIZONA,COYOTES
"Jul 27, 2015",Re-signed as a restricted free agent by the New York Rangers to a six-year contract.,DEREK,STEPAN,ARIZONA,COYOTES
"Jul 05, 2015",Filed for salary arbitration.,DEREK,STEPAN,ARIZONA,COYOTES
"Feb 08, 2015",Missed 1 game (flu).,DEREK,STEPAN,ARIZONA,COYOTES
"Feb 07, 2015","Flu, day-to-day.",DEREK,STEPAN,ARIZONA,COYOTES
"Jan 16, 2015",Missed 1 game (upper body injury).,DEREK,STEPAN,ARIZONA,COYOTES
"Jan 14, 2015","Upper body injury, day-to-day.",DEREK,STEPAN,ARIZONA,COYOTES
"Nov 08, 2014",Missed 12 games (fractured fibula).,DEREK,STEPAN,ARIZONA,COYOTES
"Oct 06, 2014","Fractured fibula, injured reserve.",DEREK,STEPAN,ARIZONA,COYOTES
"May 27, 2014",Missed the last playoff game (broken jaw).,DEREK,STEPAN,ARIZONA,COYOTES
"May 25, 2014","Broken jaw, sidelined indefinitely.",DEREK,STEPAN,ARIZONA,COYOTES
"Sep 26, 2013",Re-signed as a restricted free agent by the New York Rangers to a two-year contract.,DEREK,STEPAN,ARIZONA,COYOTES
"Jul 01, 2013",New York Rangers tendered a qualifying offer.,DEREK,STEPAN,ARIZONA,COYOTES
"Nov 11, 2012",Signed with KalPa Kuopio (Finland).,DEREK,STEPAN,ARIZONA,COYOTES
"Jul 01, 2010",Signed by the New York Rangers to a three-year entry-level contract.,DEREK,STEPAN,ARIZONA,COYOTES
