Date,Injury,Firstname,Lastname,City,TeamName
"Feb 18, 2018",Missed 3 games (shoulder injury).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Feb 13, 2018","Shoulder injury, day-to-day.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Nov 01, 2017",Missed 10 games (leukemia).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Oct 03, 2017","Leukemia, injured reserve.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Jul 01, 2017",Signed as an unrestricted free agent by the New Jersey Devils to a two-year contract.,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Feb 27, 2017",Acquired from the Tampa Bay Lightning.,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Jan 12, 2017",Missed 4 games (lower body injury).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Jan 07, 2017","Lower body injury, injured reserve.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Jan 03, 2017","Lower body injury, day-to-day.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Nov 25, 2016",Missed 1 game (upper body injury).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Nov 23, 2016","Upper body injury, day-to-day.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Nov 21, 2016",Missed 1 game (upper body injury).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Nov 19, 2016","Upper body injury, day-to-day.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Jan 19, 2016",Missed 1 game (lower body injury).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Jan 17, 2016","Lower body injury, day-to-day.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Dec 28, 2015",Missed 2 games (upper body injury).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Dec 22, 2015","Upper body injury, day-to-day.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Oct 29, 2015",Missed 3 games (undisclosed).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Oct 23, 2015","Undisclosed, day-to-day.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"May 18, 2015",Missed the last playoff game (undisclosed).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"May 16, 2015","Undisclosed, day-to-day.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Jul 01, 2014",Signed as an unrestricted free agent by the Tampa Bay Lightning to a two-year contract.,BRIAN,BOYLE,NEW,JERSEYDEVILS
"May 04, 2013",Missed the last 6 regular season and first playoff games (right leg injury).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Apr 18, 2013","Right leg injury, sidelined indefinitely.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Apr 30, 2012",Missed the last 3 playoff games (concussion).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Apr 23, 2012","Concussion, day-to-day.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Jul 14, 2011",Re-signed as a restricted free agent by the New York Rangers to a three-year contract.,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Apr 11, 2010",Missed 9 games (left foot injury).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Mar 25, 2010","Undisclosed, day-to-day.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Dec 23, 2009",Missed 1 game (undisclosed).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Dec 21, 2009","Undisclosed, day-to-day.",BRIAN,BOYLE,NEW,JERSEYDEVILS
"Jul 08, 2009",Re-signed as a restricted free agent by the New York Rangers.,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Jun 27, 2009",Acquired from the Los Angeles Kings.,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Mar 27, 2009",Recalled from Manchester (AHL).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Jan 17, 2009",Assigned to Manchester (AHL).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Dec 31, 2008",Recalled from Manchester (AHL).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Nov 30, 2008",Assigned to Manchester (AHL).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Feb 17, 2008",Assigned to Manchester (AHL).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Feb 02, 2008",Recalled from Manchester (AHL).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Sep 21, 2007",Assigned to Manchester (AHL).,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Apr 16, 2007",Signed by the Los Angeles Kings to a two-year entry-level contract.,BRIAN,BOYLE,NEW,JERSEYDEVILS
"Apr 14, 2007",Signed by the Manchester Monarchs (AHL) to an amateur tryout contract.,BRIAN,BOYLE,NEW,JERSEYDEVILS
