Date,Injury,Firstname,Lastname,City,TeamName
"Jul 26, 2017",Re-signed as a restricted free agent by the New Jersey Devils to a one-year two-way contract.,BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Jun 26, 2017",New Jersey Devils tendered a qualifying offer.,BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Apr 10, 2017",Assigned to the Albany Devils (AHL).,BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Mar 19, 2017",Missed 2 games (upper body injury).,BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Mar 16, 2017","Upper body injury, day-to-day.",BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Mar 02, 2017",Recalled from the Albany Devils (AHL).,BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Mar 01, 2017",Assigned to the Albany Devils (AHL).,BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Feb 27, 2017",Recalled from the Albany Devils (AHL).,BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Jan 21, 2017",Assigned to the Albany Devils (AHL).,BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Jan 10, 2017",Recalled from the Albany Devils (AHL).,BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Oct 01, 2016",Assigned to the Albany Devils (AHL).,BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Sep 27, 2015",Assigned to the Albany Devils (AHL).,BLAKE,COLEMAN,NEW,JERSEYDEVILS
"Jul 02, 2015",Signed by the New Jersey Devils to a two-year entry-level contract.,BLAKE,COLEMAN,NEW,JERSEYDEVILS
