Date,Injury,Firstname,Lastname,City,TeamName
"Feb 22, 2018",Acquired from the New York Rangers.,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Jan 21, 2018",Missed 1 game (flu).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Jan 20, 2018","Flu, day-to-day.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Mar 12, 2017",Missed 5 games (hip injury).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Mar 02, 2017","Hip injury, day-to-day.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Dec 08, 2016",Missed 1 game (personal reasons).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Dec 05, 2016","Personal reasons, day-to-day.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Jul 01, 2016",Signed as an unrestricted free agent by the New York Rangers to a two-year contract.,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Sep 17, 2015",Acquired from the New York Islanders.,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Feb 17, 2015",Missed 5 games (upper body injury).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Feb 08, 2015","Undisclosed, injured reserve.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Jan 06, 2015",Missed 9 games (lower body injury).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Dec 17, 2014","Lower body injury, injured reserve.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Dec 15, 2014","Lower body injury, day-to-day.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Dec 03, 2014",Missed 25 games (hernia surgery).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Oct 06, 2014","Hernia surgery, injured reserve.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Apr 13, 2014",Missed the last 5 regular season games (upper body injury).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Apr 06, 2014","Upper body injury, day-to-day.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Apr 05, 2014",Missed 9 games (concussion).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Mar 14, 2014","Concussion, sidelined indefinitely.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Jan 01, 2014",Missed 1 game (flu).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Dec 29, 2013","Flu, day-to-day.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Oct 26, 2013",Missed 2 games (suspended by nhl).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Oct 21, 2013",Suspended by the NHL for 2 games.,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Mar 21, 2013",Missed 3 games (shoulder injury).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Mar 13, 2013","Shoulder injury, injured reserve.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Oct 04, 2012",Signed with EC Villacher SV (Austria).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Mar 08, 2012",Missed 2 games (flu).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Mar 04, 2012","Flu, day-to-day.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Dec 08, 2011",Missed 1 game (groin).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Dec 06, 2011","Groin, day-to-day.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"May 13, 2011",Signed by the New York Islanders to a five-year contract.,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Apr 02, 2011",Missed 1 game (personal reasons).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Mar 31, 2011","Personal reasons, day-to-day.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Nov 03, 2010",Missed 3 games (groin).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Oct 27, 2010","Groin, day-to-day.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Oct 05, 2010",Claimed off waivers from the Florida Panthers.,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Oct 03, 2010",Placed on waivers by the Florida Panthers.,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Jun 25, 2010",Acquired from the Vancouver Canucks.,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Mar 17, 2010",Recalled from Manitoba (AHL).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Dec 19, 2009",Missed 21 games (shoulder injury).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Nov 01, 2009","Broken ankle, late December.",MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Oct 14, 2009",Recalled from Manitoba (AHL).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Sep 28, 2009",Assigned to Manitoba (AHL).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Feb 26, 2009",Assigned to Manitoba (AHL).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Sep 29, 2008",Assigned to Manitoba (AHL).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Oct 01, 2007",Assigned to Manitoba (AHL).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Apr 04, 2007",Re-assigned to Manitoba (AHL).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
"Sep 28, 2006",Returned to his junior team (Spokane-WHL).,MICHAEL,GRABNER,NEW,JERSEYDEVILS
