Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Acquired from the Edmonton Oilers.,PATRICK,MAROON,NEW,JERSEYDEVILS
"Feb 25, 2018",Missed 2 games (lower body injury).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Feb 22, 2018","Lower body injury, day-to-day.",PATRICK,MAROON,NEW,JERSEYDEVILS
"Jan 07, 2018",Missed 2 games (suspended by nhl).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Jan 03, 2018",Suspended by the NHL for 2 games.,PATRICK,MAROON,NEW,JERSEYDEVILS
"Jan 03, 2018","Fined $21,505 by the NHL.",PATRICK,MAROON,NEW,JERSEYDEVILS
"Mar 24, 2016",Missed 1 game (illness).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Mar 22, 2016","Illness, day-to-day.",PATRICK,MAROON,NEW,JERSEYDEVILS
"Feb 29, 2016",Acquired from the Anaheim Ducks.,PATRICK,MAROON,NEW,JERSEYDEVILS
"Apr 08, 2015",Missed 1 game (flu).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Apr 03, 2015","Flu, day-to-day.",PATRICK,MAROON,NEW,JERSEYDEVILS
"Oct 31, 2014",Missed 8 games (sprained right knee).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Oct 15, 2014","Sprained right knee, injured reserve.",PATRICK,MAROON,NEW,JERSEYDEVILS
"Oct 14, 2014","Sprained right knee, day-to-day.",PATRICK,MAROON,NEW,JERSEYDEVILS
"Aug 01, 2014",Signed by the Anaheim Ducks to a three-year contract extension.,PATRICK,MAROON,NEW,JERSEYDEVILS
"Apr 24, 2013",Recalled from Norfolk (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Mar 21, 2013",Signed by the Anaheim Ducks to a two-year contract extension.,PATRICK,MAROON,NEW,JERSEYDEVILS
"Mar 15, 2013",Assigned to Norfolk (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Mar 11, 2013",Recalled from Norfolk (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Mar 05, 2013",Assigned to Norfolk (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Feb 13, 2013",Recalled from Norfolk (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Jan 16, 2013",Assigned to Norfolk (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Jan 13, 2013",Recalled from Norfolk (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Sep 28, 2012",Signed by the Norfolk Admirals (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Jun 07, 2012",Re-signed by the Anaheim Ducks to a one-year contract extension.,PATRICK,MAROON,NEW,JERSEYDEVILS
"Oct 28, 2011",Assigned to Syracuse (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Oct 24, 2011",Recalled from Syracuse (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Oct 18, 2011",Assigned to Syracuse (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Oct 16, 2011",Recalled from Syracuse (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Oct 01, 2011",Assigned to Syracuse (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Jul 16, 2011",Re-signed as a restricted free agent by the Anaheim Ducks to a one-year contract.,PATRICK,MAROON,NEW,JERSEYDEVILS
"Jun 27, 2011",Anaheim Ducks tendered a qualifying offer.,PATRICK,MAROON,NEW,JERSEYDEVILS
"Apr 13, 2011",Recalled from Syracuse (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Nov 21, 2010",Acquired from the Philadelphia Flyers.,PATRICK,MAROON,NEW,JERSEYDEVILS
"Nov 21, 2010",Re-assigned to Syracuse (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Sep 26, 2010",Assigned to Adirondack (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Sep 29, 2009",Assigned to Adirondack (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Sep 30, 2008",Assigned to Philadelphia (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Apr 02, 2008",Re-assigned to Philadelphia (AHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
"Nov 01, 2007",Signed by the Philadelphia Flyers.,PATRICK,MAROON,NEW,JERSEYDEVILS
"Sep 18, 2007",Returned to his junior team (London-OHL).,PATRICK,MAROON,NEW,JERSEYDEVILS
