Date,Injury,Firstname,Lastname,City,TeamName
"Feb 12, 2017",Missed 17 games (concussion).,JOHN,MOORE,NEW,JERSEYDEVILS
"Dec 31, 2016","Concussion, injured reserve.",JOHN,MOORE,NEW,JERSEYDEVILS
"Mar 24, 2016",Missed 1 game (knee injury).,JOHN,MOORE,NEW,JERSEYDEVILS
"Mar 20, 2016","Undisclosed, day-to-day.",JOHN,MOORE,NEW,JERSEYDEVILS
"Feb 04, 2016",Missed 3 games (lower body injury).,JOHN,MOORE,NEW,JERSEYDEVILS
"Jan 22, 2016","Lower body injury, injured reserve.",JOHN,MOORE,NEW,JERSEYDEVILS
"Jan 15, 2016",Missed 4 games (lower body injury).,JOHN,MOORE,NEW,JERSEYDEVILS
"Jan 08, 2016","Lower body injury, day-to-day.",JOHN,MOORE,NEW,JERSEYDEVILS
"Oct 16, 2015",Missed 1 game (lower body injury).,JOHN,MOORE,NEW,JERSEYDEVILS
"Oct 13, 2015","Lower body injury, day-to-day.",JOHN,MOORE,NEW,JERSEYDEVILS
"Jul 01, 2015",Signed as an unrestricted free agent by the New Jersey Devils to a three-year contract.,JOHN,MOORE,NEW,JERSEYDEVILS
"Mar 01, 2015",Acquired from the New York Rangers.,JOHN,MOORE,NEW,JERSEYDEVILS
"Nov 10, 2014",Missed 5 games (suspended by nhl).,JOHN,MOORE,NEW,JERSEYDEVILS
"Oct 29, 2014",Suspended by the NHL for 5 games.,JOHN,MOORE,NEW,JERSEYDEVILS
"Sep 10, 2014",Re-signed as a restricted free agent by the New York Rangers to a one-year contract.,JOHN,MOORE,NEW,JERSEYDEVILS
"Jun 30, 2014",New York Rangers tendered a qualifying offer.,JOHN,MOORE,NEW,JERSEYDEVILS
"Jun 05, 2014",Missed 2 games (suspended by nhl).,JOHN,MOORE,NEW,JERSEYDEVILS
"May 28, 2014",Suspended by the NHL for 2 games.,JOHN,MOORE,NEW,JERSEYDEVILS
"Apr 03, 2014",Missed 6 games (concussion).,JOHN,MOORE,NEW,JERSEYDEVILS
"Mar 22, 2014","Concussion, sidelined indefinitely.",JOHN,MOORE,NEW,JERSEYDEVILS
"Apr 03, 2013",Acquired from the Columbus Blue Jackets.,JOHN,MOORE,NEW,JERSEYDEVILS
"Mar 15, 2013",Missed 8 games (shoulder injury).,JOHN,MOORE,NEW,JERSEYDEVILS
"Mar 04, 2013","Shoulder injury, injured reserve.",JOHN,MOORE,NEW,JERSEYDEVILS
"Mar 01, 2013","Shoulder injury, day-to-day.",JOHN,MOORE,NEW,JERSEYDEVILS
"Feb 16, 2013",Missed 5 games (lower body injury).,JOHN,MOORE,NEW,JERSEYDEVILS
"Feb 05, 2013","Lower body injury, day-to-day.",JOHN,MOORE,NEW,JERSEYDEVILS
"Jan 10, 2013",Recalled from Springfield (AHL).,JOHN,MOORE,NEW,JERSEYDEVILS
"Sep 14, 2012",Assigned to Springfield (AHL).,JOHN,MOORE,NEW,JERSEYDEVILS
"Apr 07, 2012",Missed the last 4 regular season games (foot injury).,JOHN,MOORE,NEW,JERSEYDEVILS
"Mar 31, 2012","Foot injury, day-to-day.",JOHN,MOORE,NEW,JERSEYDEVILS
"Dec 10, 2011",Missed 3 games (illness).,JOHN,MOORE,NEW,JERSEYDEVILS
"Dec 02, 2011","Illness, day-to-day.",JOHN,MOORE,NEW,JERSEYDEVILS
"Oct 22, 2011",Recalled from Springfield (AHL).,JOHN,MOORE,NEW,JERSEYDEVILS
"Oct 01, 2011",Assigned to Springfield (AHL).,JOHN,MOORE,NEW,JERSEYDEVILS
"Feb 19, 2011",Assigned to Springfield (AHL).,JOHN,MOORE,NEW,JERSEYDEVILS
"Feb 17, 2011",Recalled from Syracuse (AHL).,JOHN,MOORE,NEW,JERSEYDEVILS
"Feb 15, 2011",Assigned to Springfield (AHL).,JOHN,MOORE,NEW,JERSEYDEVILS
"Feb 03, 2011",Recalled from Syracuse (AHL).,JOHN,MOORE,NEW,JERSEYDEVILS
"Oct 02, 2010",Assigned to Syracuse (AHL).,JOHN,MOORE,NEW,JERSEYDEVILS
"Sep 28, 2009",Returned to his junior team (Kitchener-OHL).,JOHN,MOORE,NEW,JERSEYDEVILS
"Jul 21, 2009",Signed by the Columbus Blue Jackets to a three-year entry-level contract.,JOHN,MOORE,NEW,JERSEYDEVILS
