Date,Injury,Firstname,Lastname,City,TeamName
"Jan 30, 2018",Missed 31 games (fractured clavicle).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jan 22, 2018",Recalled from his conditioning assignment with the Binghamton Devils (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jan 18, 2018",Assigned to the Binghamton Devils (AHL) for conditioning purposes.,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Nov 15, 2017","Fractured clavicle, injured reserve.",MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jul 25, 2017",Re-signed as a restricted free agent by the New Jersey Devils to a two-year contract.,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jun 17, 2017",San Jose Sharks tendered a qualifying offer.,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jun 17, 2017",Acquired from the San Jose Sharks.,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Feb 20, 2017",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Feb 17, 2017",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jan 13, 2017",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jan 02, 2017",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Dec 15, 2016",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Dec 12, 2016",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Dec 11, 2016",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Dec 09, 2016",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Dec 08, 2016",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Dec 07, 2016",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Oct 11, 2016",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"May 01, 2016",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Apr 12, 2016",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Apr 09, 2016",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Mar 24, 2016",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Mar 22, 2016",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Feb 20, 2016",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Feb 15, 2016",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Feb 14, 2016",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Feb 11, 2016",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Dec 11, 2015",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Dec 05, 2015",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Dec 03, 2015",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Nov 10, 2015",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Oct 29, 2015",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Oct 28, 2015",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Oct 26, 2015",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Oct 21, 2015",Recalled from the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Oct 05, 2015",Assigned to the San Jose Barracuda (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Apr 11, 2015",Missed the last 8 regular season games (left hand injury).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Mar 27, 2015","Left hand injury, sidelined indefinitely.",MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jan 27, 2015",Missed 6 games (upper body injury).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jan 21, 2015","Upper body injury, day-to-day.",MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jan 20, 2015",Assigned to the Worcester Sharks (AHL) for conditioning purposes.,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jan 10, 2015","Undisclosed, injured reserve.",MIRCO,MUELLER,NEW,JERSEYDEVILS
"Jan 05, 2015",Recalled from the Switzerland National Junior Team (WJC).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Dec 19, 2014",Loaned to the Switzerland National Junior Team (WJC).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Apr 22, 2014",Recalled from the Worcester Sharks (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Mar 31, 2014",Re-assigned to the Worcester Sharks (AHL).,MIRCO,MUELLER,NEW,JERSEYDEVILS
"Sep 22, 2013",Signed by the San Jose Sharks to a three-year entry-level contract.,MIRCO,MUELLER,NEW,JERSEYDEVILS
