Date,Injury,Firstname,Lastname,City,TeamName
"Jul 26, 2017",Re-signed as a restricted free agent by the New Jersey Devils to a one-year two-way contract.,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jun 26, 2017",New Jersey Devils tendered a qualifying offer.,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jan 25, 2017",Claimed off waivers from the Anaheim Ducks.,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jan 24, 2017",Placed on waivers by the Anaheim Ducks.,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jan 19, 2017",Recalled from the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jan 18, 2017",Assigned to the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jan 17, 2017",Recalled from the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jan 16, 2017",Assigned to the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jan 11, 2017",Recalled from the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Dec 29, 2016",Assigned to the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Dec 07, 2016",Recalled from the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Oct 02, 2016",Assigned to the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jul 22, 2016",Signed by the Anaheim Ducks to a one-year contract extension.,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jun 27, 2016",Anaheim Ducks tendered a qualifying offer.,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Apr 11, 2016",Assigned to the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Apr 09, 2016",Recalled from the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Mar 04, 2016",Assigned to the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Mar 03, 2016",Recalled from the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Sep 28, 2015",Assigned to the San Diego Gulls (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Apr 20, 2015",Recalled from the Norfolk Admirals (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Apr 08, 2015",Assigned to the Norfolk Admirals (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Apr 03, 2015",Recalled from the Norfolk Admirals (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Sep 29, 2014",Assigned to the Norfolk Admirals (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Sep 23, 2013",Assigned to Norfolk (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jul 05, 2013",Acquired from the Ottawa Senators.,STEFAN,NOESEN,NEW,JERSEYDEVILS
"May 07, 2013",Recalled from Binghamton (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"May 02, 2013",Re-assigned to Binghamton (AHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jan 16, 2013",Assigned to Plymouth (OHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Jan 10, 2013",Recalled from Plymouth (OHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Dec 29, 2011",Signed by the Ottawa Senators to a three-year entry-level contract.,STEFAN,NOESEN,NEW,JERSEYDEVILS
"Sep 20, 2011",Returned to his junior team (Plymouth-OHL).,STEFAN,NOESEN,NEW,JERSEYDEVILS
