Date,Injury,Firstname,Lastname,City,TeamName
"Nov 30, 2017",Acquired from the Anaheim Ducks.,SAMI,VATANEN,NEW,JERSEYDEVILS
"Oct 28, 2017",Missed 9 games (shoulder injury).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Oct 03, 2017","Shoulder injury, injured reserve.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Apr 30, 2017",Missed the last 5 playoff games (upper body injury).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Apr 15, 2017","Upper body injury, day-to-day.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Apr 05, 2017",Missed 2 games (upper body injury).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Apr 02, 2017","Upper body injury, day-to-day.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Feb 17, 2017",Missed 5 games (lower body injury).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Feb 04, 2017","Lower body injury, day-to-day.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Jan 25, 2017",Missed 1 game (undisclosed).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Jan 23, 2017","Undisclosed, day-to-day.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Jan 01, 2017",Missed 3 games (illness).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Dec 27, 2016","Illness, day-to-day.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Jun 18, 2016",Signed by the Anaheim Ducks to a four-year contract extension.,SAMI,VATANEN,NEW,JERSEYDEVILS
"Apr 12, 2016",Missed the last 3 regular season games (illness).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Apr 07, 2016","Illness, day-to-day.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Mar 28, 2016",Missed 8 games (upper body injury).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Mar 10, 2016","Upper body injury, day-to-day.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Mar 20, 2015",Missed 15 games (lower body injury).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Feb 17, 2015","Lower body injury, injured reserve.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Jan 15, 2015","Fined $3,394 by the NHL.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Jul 22, 2014",Re-signed as a restricted free agent by the Anaheim Ducks to a two-year contract.,SAMI,VATANEN,NEW,JERSEYDEVILS
"Jun 30, 2014",Anaheim Ducks tendered a qualifying offer.,SAMI,VATANEN,NEW,JERSEYDEVILS
"May 08, 2014",Recalled from the Norfolk Admirals (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Apr 20, 2014",Assigned to the Norfolk Admirals (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Mar 23, 2014",Recalled from the Norfolk Admirals (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Feb 25, 2014",Assigned to the Norfolk Admirals (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Feb 03, 2014",Recalled from the Norfolk Admirals (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Jan 21, 2014",Assigned to the Norfolk Admirals (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Nov 22, 2013",Recalled from Norfolk (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Nov 14, 2013",Assigned to Norfolk (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Nov 08, 2013",Missed 1 game (upper body injury).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Nov 06, 2013","Upper body injury, day-to-day.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Apr 16, 2013",Recalled from Norfolk (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Apr 09, 2013",Assigned to Norfolk (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Apr 08, 2013",Recalled from Norfolk (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Feb 09, 2013",Assigned to Norfolk (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Jan 27, 2013",Recalled from Norfolk (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Jan 25, 2013",Assigned to Norfolk (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Jan 25, 2013",Missed 2 games (foot injury).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Jan 18, 2013","Foot injury, injured reserve.",SAMI,VATANEN,NEW,JERSEYDEVILS
"Jan 17, 2013",Recalled from Norfolk (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"Sep 14, 2012",Assigned to Norfolk (AHL).,SAMI,VATANEN,NEW,JERSEYDEVILS
"May 31, 2011",Signed by the Anaheim Ducks to a three-year entry-level contract.,SAMI,VATANEN,NEW,JERSEYDEVILS
