Date,Injury,Firstname,Lastname,City,TeamName
"Nov 16, 2017",Missed 17 games (pectoral injuries).,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Oct 03, 2017","Pectoral Injuries, injured reserve.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Mar 14, 2017",Missed 1 game (personal reasons).,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Mar 10, 2017","Personal reasons, day-to-day.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Jan 03, 2017",Missed 1 game (illness).,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Jan 02, 2017","Illness, day-to-day.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Dec 19, 2015",Missed 7 games (upper body injury).,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Dec 10, 2015","Upper body injury, injured reserve.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Dec 04, 2015","Upper body injury, day-to-day.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Oct 18, 2015",Missed 1 game (lower body injury).,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Oct 16, 2015","Lower body injury, day-to-day.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Dec 15, 2014",Missed 8 games (lower body injury).,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Dec 01, 2014","Lower body injury, injured reserve.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Nov 29, 2014","Lower body injury, day-to-day.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Nov 06, 2013",Missed 2 games (sprained right ankle).,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Nov 02, 2013","Sprained right ankle, day-to-day.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Jan 16, 2013",Signed by the New Jersey Devils to an eight-year contract extension.,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Mar 25, 2012",Missed 37 games (achilles).,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Jan 14, 2012","Achilles, injured reserve.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Jan 11, 2012","Achilles, sidelined indefinitely.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Jan 04, 2012","Achilles, day-to-day.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Dec 16, 2011",Missed 30 games (left achilles).,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Oct 05, 2011","Left Achilles, injured reserve.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Jul 22, 2009",Re-signed as a restricted free agent by the New Jersey Devils to a multi-year contract.,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Oct 26, 2006",Missed 2 games (hip injury).,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Oct 21, 2006","Hip injury, day-to-day.",TRAVIS,ZAJAC,NEW,JERSEYDEVILS
"Apr 13, 2006",Signed by the New Jersey Devils.,TRAVIS,ZAJAC,NEW,JERSEYDEVILS
