Date,Injury,Firstname,Lastname,City,TeamName
"Nov 03, 2017",Missed 4 games (left hand injury).,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Oct 26, 2017","Left hand injury, injured reserve.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"May 18, 2017",Missed the last playoff game (lower body injury).,KEVIN,BIEKSA,ANAHEIM,DUCKS
"May 10, 2017","Lower body injury, day-to-day.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"May 07, 2017",Missed the last 4 playoff games (lower body injury).,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Apr 28, 2017","Lower body injury, day-to-day.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"Mar 26, 2017",Missed 1 game (facial injury).,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Mar 24, 2017","Facial injury, day-to-day.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"Apr 17, 2016",Missed the last 8 regular season and first playoff games (upper body injury).,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Mar 28, 2016","Upper body injury, day-to-day.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"Mar 18, 2016",Missed 2 games (lower body injury).,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Mar 14, 2016","Lower body injury, day-to-day.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"Jul 01, 2015",Signed by the Anaheim Ducks to a two-year contract extension.,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Jun 30, 2015",Acquired from the Vancouver Canucks.,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Mar 13, 2015",Missed 22 games (broken hand).,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Jan 30, 2015","Broken hand, injured reserve.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"Jan 21, 2015","Broken hand, sidelined indefinitely.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"Feb 26, 2014",Missed 5 games (bruised foot).,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Feb 03, 2014","Bruised foot, injured reserve.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"Jan 30, 2014","Bruised foot, sidelined indefinitely.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"Apr 27, 2013",Missed 5 games (lower body injury).,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Apr 16, 2013","Lower body injury, day-to-day.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"Mar 14, 2013",Missed 5 games (groin).,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Mar 03, 2013","Groin, day-to-day.",KEVIN,BIEKSA,ANAHEIM,DUCKS
"Mar 02, 2013",Missed 2 games (groin).,KEVIN,BIEKSA,ANAHEIM,DUCKS
"Feb 24, 2013","Groin, day-to-day.",KEVIN,BIEKSA,ANAHEIM,DUCKS
