Date,Injury,Firstname,Lastname,City,TeamName
"Jan 14, 2018",Claimed off waivers from the Tampa Bay Lightning.,J.T.,BROWN,ANAHEIM,DUCKS
"Jan 13, 2018",Placed on waivers by the Tampa Bay Lightning.,J.T.,BROWN,ANAHEIM,DUCKS
"Nov 29, 2017",Missed 3 games (illness).,J.T.,BROWN,ANAHEIM,DUCKS
"Nov 24, 2017","Illness, day-to-day.",J.T.,BROWN,ANAHEIM,DUCKS
"Apr 09, 2017",Missed 1 game (undisclosed).,J.T.,BROWN,ANAHEIM,DUCKS
"Apr 04, 2017","Undisclosed, day-to-day.",J.T.,BROWN,ANAHEIM,DUCKS
"Jan 24, 2017",Missed 7 games (upper body injury).,J.T.,BROWN,ANAHEIM,DUCKS
"Jan 08, 2017","Upper body injury, injured reserve.",J.T.,BROWN,ANAHEIM,DUCKS
"Nov 29, 2016",Missed 3 games (upper body injury).,J.T.,BROWN,ANAHEIM,DUCKS
"Nov 23, 2016","Upper body injury, day-to-day.",J.T.,BROWN,ANAHEIM,DUCKS
"Jun 24, 2016",Re-signed by the Tampa Bay Lightning to a two-year contract.,J.T.,BROWN,ANAHEIM,DUCKS
"May 13, 2016",Missed the last 8 playoff games (upper body injury).,J.T.,BROWN,ANAHEIM,DUCKS
"Apr 16, 2016","Upper body injury, sidelined indefinitely.",J.T.,BROWN,ANAHEIM,DUCKS
"Dec 26, 2015",Missed 2 games (undisclosed).,J.T.,BROWN,ANAHEIM,DUCKS
"Dec 20, 2015","Undisclosed, day-to-day.",J.T.,BROWN,ANAHEIM,DUCKS
"Mar 12, 2015",Missed 3 games (upper body injury).,J.T.,BROWN,ANAHEIM,DUCKS
"Mar 05, 2015","Upper body injury, day-to-day.",J.T.,BROWN,ANAHEIM,DUCKS
"Oct 28, 2014",Missed 1 game (upper body injury).,J.T.,BROWN,ANAHEIM,DUCKS
"Oct 25, 2014","Upper body injury, day-to-day.",J.T.,BROWN,ANAHEIM,DUCKS
"Jun 25, 2014",Signed by the Tampa Bay Lightning to a two-year contract extension.,J.T.,BROWN,ANAHEIM,DUCKS
"Jan 10, 2014",Missed 2 games (upper body injury).,J.T.,BROWN,ANAHEIM,DUCKS
"Jan 07, 2014","Upper body injury, day-to-day.",J.T.,BROWN,ANAHEIM,DUCKS
"Nov 12, 2013",Recalled from Syracuse (AHL).,J.T.,BROWN,ANAHEIM,DUCKS
"Sep 29, 2013",Assigned to Syracuse (AHL).,J.T.,BROWN,ANAHEIM,DUCKS
"Jul 15, 2013",Re-signed as a restricted free agent by the Tampa Bay Lightning to a one-year two-way contract.,J.T.,BROWN,ANAHEIM,DUCKS
"Jul 01, 2013",Tampa Bay Lightning tendered a qualifying offer.,J.T.,BROWN,ANAHEIM,DUCKS
"Sep 14, 2012",Assigned to Syracuse (AHL).,J.T.,BROWN,ANAHEIM,DUCKS
"Mar 28, 2012",Signed by the Tampa Bay Lightning to a two-year entry-level contract.,J.T.,BROWN,ANAHEIM,DUCKS
