Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Acquired from the New York Islanders.,JASON,CHIMERA,ANAHEIM,DUCKS
"Jul 01, 2016",Signed as an unrestricted free agent by the New York Islanders to a two-year contract.,JASON,CHIMERA,ANAHEIM,DUCKS
"Mar 31, 2016","Fined $5,000 by the NHL.",JASON,CHIMERA,ANAHEIM,DUCKS
"Nov 08, 2013",Signed by the Washington Capitals to a two-year contract extension.,JASON,CHIMERA,ANAHEIM,DUCKS
"Oct 15, 2013","Fined $4,487.18 by the NHL.",JASON,CHIMERA,ANAHEIM,DUCKS
"Nov 28, 2012",Released by Pirati Chomutov (Czech Republic).,JASON,CHIMERA,ANAHEIM,DUCKS
"Nov 14, 2012",Signed with Pirati Chomutov (Czech Republic).,JASON,CHIMERA,ANAHEIM,DUCKS
"Sep 29, 2011",Re-signed by the Washington Capitals to a two-year contract.,JASON,CHIMERA,ANAHEIM,DUCKS
"Mar 03, 2010",Missed 3 games (groin).,JASON,CHIMERA,ANAHEIM,DUCKS
"Feb 10, 2010","Groin, day-to-day.",JASON,CHIMERA,ANAHEIM,DUCKS
"Dec 28, 2009",Acquired from the Columbus Blue Jackets.,JASON,CHIMERA,ANAHEIM,DUCKS
"Sep 20, 2009","Head injury, sidelined indefinitely.",JASON,CHIMERA,ANAHEIM,DUCKS
"Apr 03, 2009",Missed 16 games (groin).,JASON,CHIMERA,ANAHEIM,DUCKS
"Feb 26, 2009","Groin, early April.",JASON,CHIMERA,ANAHEIM,DUCKS
"Feb 24, 2009",Missed 1 game (groin).,JASON,CHIMERA,ANAHEIM,DUCKS
"Feb 21, 2009","Groin, day-to-day.",JASON,CHIMERA,ANAHEIM,DUCKS
"Jan 27, 2009",Missed 16 games (groin).,JASON,CHIMERA,ANAHEIM,DUCKS
"Dec 18, 2008","Groin, sidelined indefinitely.",JASON,CHIMERA,ANAHEIM,DUCKS
"Feb 06, 2008",Re-signed by the Columbus Blue Jackets to a four-year contract extension.,JASON,CHIMERA,ANAHEIM,DUCKS
"Jul 22, 2006",Re-signed as a restricted free agent by the Columbus Blue Jackets to a two-year contract.,JASON,CHIMERA,ANAHEIM,DUCKS
"Oct 09, 2005",Missed 2 games (rib injury).,JASON,CHIMERA,ANAHEIM,DUCKS
"Oct 08, 2005",Acquired from the Phoenix Coyotes.,JASON,CHIMERA,ANAHEIM,DUCKS
"Oct 03, 2005","Rib injury, sidelined indefinitely.",JASON,CHIMERA,ANAHEIM,DUCKS
"Dec 15, 2004",NHL lockout: Signed with the A.S. Mastini Varese Hockey in Italian Serie A.,JASON,CHIMERA,ANAHEIM,DUCKS
"Aug 30, 2004",Re-signed by the Phoenix Coyotes to a two-year contract.,JASON,CHIMERA,ANAHEIM,DUCKS
"Jun 26, 2004",Acquired from the Edmonton Oilers.,JASON,CHIMERA,ANAHEIM,DUCKS
"Apr 24, 2004",Re-signed by the Edmonton Oilers.,JASON,CHIMERA,ANAHEIM,DUCKS
"Aug 02, 2002",Re-signed by the Edmonton Oilers to a two-year contract.,JASON,CHIMERA,ANAHEIM,DUCKS
"Dec 26, 2001",Assigned to Hamilton (AHL).,JASON,CHIMERA,ANAHEIM,DUCKS
"Dec 18, 2001",Recalled from Hamilton (AHL).,JASON,CHIMERA,ANAHEIM,DUCKS
"Oct 01, 2001",Assigned to Hamilton (AHL).,JASON,CHIMERA,ANAHEIM,DUCKS
"Dec 12, 2000",Assigned to Hamilton (AHL).,JASON,CHIMERA,ANAHEIM,DUCKS
"Dec 08, 2000",Recalled from Hamilton (AHL).,JASON,CHIMERA,ANAHEIM,DUCKS
"Oct 02, 2000",Assigned to Hamilton (AHL).,JASON,CHIMERA,ANAHEIM,DUCKS
