Date,Injury,Firstname,Lastname,City,TeamName
"Nov 20, 2017",Missed 12 games (knee injury).,CAM,FOWLER,ANAHEIM,DUCKS
"Oct 21, 2017","Lower body injury, injured reserve.",CAM,FOWLER,ANAHEIM,DUCKS
"Jul 01, 2017",Signed by the Anaheim Ducks to an eight-year contract extension.,CAM,FOWLER,ANAHEIM,DUCKS
"Apr 26, 2017",Missed the last 2 regular season and first 4 playoff games (knee injury).,CAM,FOWLER,ANAHEIM,DUCKS
"Apr 06, 2017","Knee injury, remainder of the regular season.",CAM,FOWLER,ANAHEIM,DUCKS
"Feb 02, 2016",Missed 13 games (sprained knee).,CAM,FOWLER,ANAHEIM,DUCKS
"Dec 28, 2015","Sprained knee, injured reserve.",CAM,FOWLER,ANAHEIM,DUCKS
"Nov 12, 2014",Missed 1 game (lower body injury).,CAM,FOWLER,ANAHEIM,DUCKS
"Nov 09, 2014","Lower body injury, day-to-day.",CAM,FOWLER,ANAHEIM,DUCKS
"Apr 09, 2014",Missed 12 games (sprained mcl).,CAM,FOWLER,ANAHEIM,DUCKS
"Mar 15, 2014","Sprained MCL, sidelined indefinitely.",CAM,FOWLER,ANAHEIM,DUCKS
"Apr 19, 2013",Missed 2 games (upper body injury).,CAM,FOWLER,ANAHEIM,DUCKS
"Apr 13, 2013","Upper body injury, day-to-day.",CAM,FOWLER,ANAHEIM,DUCKS
"Feb 24, 2013",Missed 9 games (upper body injury).,CAM,FOWLER,ANAHEIM,DUCKS
"Feb 06, 2013","Upper body injury, injured reserve.",CAM,FOWLER,ANAHEIM,DUCKS
"Feb 04, 2013","Upper body injury, day-to-day.",CAM,FOWLER,ANAHEIM,DUCKS
"Jan 21, 2013",Missed 1 game (flu).,CAM,FOWLER,ANAHEIM,DUCKS
"Jan 19, 2013","Flu, day-to-day.",CAM,FOWLER,ANAHEIM,DUCKS
"Nov 14, 2012",Signed with Sodertalje SK (Sweden).,CAM,FOWLER,ANAHEIM,DUCKS
"Sep 15, 2012",Signed by the Anaheim Ducks to a five-year contract extension.,CAM,FOWLER,ANAHEIM,DUCKS
"Nov 03, 2010",Missed 6 games (broken nose).,CAM,FOWLER,ANAHEIM,DUCKS
"Oct 20, 2010","Broken nose, day-to-day.",CAM,FOWLER,ANAHEIM,DUCKS
"Jul 28, 2010",Signed by the Anaheim Ducks to a three-year entry-level contract.,CAM,FOWLER,ANAHEIM,DUCKS
