Date,Injury,Firstname,Lastname,City,TeamName
"Jan 29, 2018",Recalled from the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Jan 26, 2018",Assigned to the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Jan 12, 2018",Recalled from the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Jan 09, 2018",Missed 3 games (flu).,ONDREJ,KASE,ANAHEIM,DUCKS
"Jan 09, 2018",Assigned to the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Jan 02, 2018","Flu, day-to-day.",ONDREJ,KASE,ANAHEIM,DUCKS
"Dec 01, 2017",Missed 10 games (concussion).,ONDREJ,KASE,ANAHEIM,DUCKS
"Nov 09, 2017","Concussion, injured reserve.",ONDREJ,KASE,ANAHEIM,DUCKS
"Oct 20, 2017",Missed 3 games (head injury).,ONDREJ,KASE,ANAHEIM,DUCKS
"Oct 11, 2017","Head injury, injured reserve.",ONDREJ,KASE,ANAHEIM,DUCKS
"May 07, 2017",Missed the last playoff game (upper body injury).,ONDREJ,KASE,ANAHEIM,DUCKS
"May 05, 2017","Upper body injury, day-to-day.",ONDREJ,KASE,ANAHEIM,DUCKS
"Apr 30, 2017",Recalled from the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Apr 20, 2017",Assigned to the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Apr 17, 2017",Recalled from the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Apr 15, 2017",Assigned to the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Apr 05, 2017",Recalled from the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Mar 31, 2017",Assigned to the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Mar 29, 2017",Recalled from the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Mar 24, 2017",Assigned to the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Nov 19, 2016",Recalled from the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Nov 06, 2016",Assigned to the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Nov 02, 2016",Recalled from the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Oct 06, 2016",Assigned to the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"Oct 01, 2015",Assigned to the San Diego Gulls (AHL).,ONDREJ,KASE,ANAHEIM,DUCKS
"May 14, 2015",Signed by the Anaheim Ducks to a three-year entry-level contract.,ONDREJ,KASE,ANAHEIM,DUCKS
