Date,Injury,Firstname,Lastname,City,TeamName
"Nov 24, 2017",Missed 5 games (lower body injury).,RYAN,MILLER,ANAHEIM,DUCKS
"Nov 20, 2017","Lower body injury, injured reserve.",RYAN,MILLER,ANAHEIM,DUCKS
"Nov 12, 2017","Lower body injury, day-to-day.",RYAN,MILLER,ANAHEIM,DUCKS
"Oct 28, 2017",Missed 9 games (upper body injury).,RYAN,MILLER,ANAHEIM,DUCKS
"Oct 03, 2017","Upper body injury, injured reserve.",RYAN,MILLER,ANAHEIM,DUCKS
"Jul 01, 2017",Signed as an unrestricted free agent by the Anaheim Ducks to a two-year contract.,RYAN,MILLER,ANAHEIM,DUCKS
"Dec 13, 2016",Missed 2 games (ankle injury).,RYAN,MILLER,ANAHEIM,DUCKS
"Dec 10, 2016","Ankle injury, day-to-day.",RYAN,MILLER,ANAHEIM,DUCKS
"Nov 19, 2016",Missed 1 game (flu).,RYAN,MILLER,ANAHEIM,DUCKS
"Nov 17, 2016","Flu, day-to-day.",RYAN,MILLER,ANAHEIM,DUCKS
"Oct 20, 2016",Missed 1 game (undisclosed).,RYAN,MILLER,ANAHEIM,DUCKS
"Oct 18, 2016","Undisclosed, day-to-day.",RYAN,MILLER,ANAHEIM,DUCKS
"Jan 07, 2016",Missed 6 games (lower body injury).,RYAN,MILLER,ANAHEIM,DUCKS
"Dec 28, 2015","Lower body injury, injured reserve.",RYAN,MILLER,ANAHEIM,DUCKS
"Dec 22, 2015","Lower body injury, day-to-day.",RYAN,MILLER,ANAHEIM,DUCKS
"Apr 09, 2015",Missed 21 games (lower body injury).,RYAN,MILLER,ANAHEIM,DUCKS
"Feb 24, 2015","Lower body injury, injured reserve.",RYAN,MILLER,ANAHEIM,DUCKS
"Jul 01, 2014",Signed as an unrestricted free agent by the Vancouver Canucks to a three-year contract.,RYAN,MILLER,ANAHEIM,DUCKS
"Feb 28, 2014",Acquired from the Buffalo Sabres.,RYAN,MILLER,ANAHEIM,DUCKS
"Oct 08, 2013",Missed 1 game (groin).,RYAN,MILLER,ANAHEIM,DUCKS
"Oct 05, 2013","Groin, day-to-day.",RYAN,MILLER,ANAHEIM,DUCKS
"Dec 02, 2011",Missed 8 games (concussion).,RYAN,MILLER,ANAHEIM,DUCKS
"Nov 25, 2011","Concussion, injured reserve.",RYAN,MILLER,ANAHEIM,DUCKS
"Nov 14, 2011","Concussion, sidelined indefinitely.",RYAN,MILLER,ANAHEIM,DUCKS
"Apr 08, 2011",Missed 4 games (upper body injury).,RYAN,MILLER,ANAHEIM,DUCKS
"Mar 30, 2011","Upper body injury, day-to-day.",RYAN,MILLER,ANAHEIM,DUCKS
"Nov 26, 2010",Missed 2 games (groin).,RYAN,MILLER,ANAHEIM,DUCKS
"Nov 20, 2010","Groin, day-to-day.",RYAN,MILLER,ANAHEIM,DUCKS
"Nov 13, 2010",Missed 6 games (upper body injury).,RYAN,MILLER,ANAHEIM,DUCKS
"Nov 03, 2010","Upper body injury, day-to-day.",RYAN,MILLER,ANAHEIM,DUCKS
"Mar 27, 2009",Missed 13 games (sprained left ankle).,RYAN,MILLER,ANAHEIM,DUCKS
"Feb 23, 2009","Sprained left ankle, sidelined indefinitely.",RYAN,MILLER,ANAHEIM,DUCKS
"Jul 18, 2008",Signed by the Buffalo Sabres to a five-year contract extenstion through 2013-14.,RYAN,MILLER,ANAHEIM,DUCKS
"Nov 17, 2006",Missed 4 games (lower body injury).,RYAN,MILLER,ANAHEIM,DUCKS
"Nov 10, 2006","Lower body injury, day-to-day.",RYAN,MILLER,ANAHEIM,DUCKS
"Sep 08, 2006",Re-signed as a restricted free agent by the Buffalo Sabres to a three-year contract.,RYAN,MILLER,ANAHEIM,DUCKS
"Dec 19, 2005",Recalled from Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Dec 11, 2005",Assigned to Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Dec 10, 2005",Recalled from Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Dec 09, 2005",Missed 18 games (broken thumb).,RYAN,MILLER,ANAHEIM,DUCKS
"Nov 02, 2005","Broken thumb, late December.",RYAN,MILLER,ANAHEIM,DUCKS
"Aug 12, 2005",Re-signed as a restricted free agent by the Buffalo Sabres to a one-year contract.,RYAN,MILLER,ANAHEIM,DUCKS
"Sep 15, 2004",Re-signed by the Buffalo Sabres to a one-year contract.,RYAN,MILLER,ANAHEIM,DUCKS
"Sep 15, 2004",Assigned to Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Jun 30, 2004",Buffalo Sabres tendered a qualifying offer.,RYAN,MILLER,ANAHEIM,DUCKS
"Jan 10, 2004",Assigned to Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Dec 30, 2003",Recalled from Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Dec 12, 2003",Assigned to Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Dec 08, 2003",Recalled from Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Oct 15, 2003",Assigned to Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Feb 22, 2003",Assigned to Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Dec 31, 2002",Recalled from Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Nov 25, 2002",Assigned to Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Nov 18, 2002",Recalled from Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Oct 06, 2002",Assigned to Rochester (AHL).,RYAN,MILLER,ANAHEIM,DUCKS
"Aug 26, 2002",Signed by the Buffalo Sabres to a two-year contract.,RYAN,MILLER,ANAHEIM,DUCKS
