Date,Injury,Firstname,Lastname,City,TeamName
"Dec 01, 2017",Missed 1 game (elbow injury).,BRANDON,MONTOUR,ANAHEIM,DUCKS
"Nov 29, 2017","Elbow injury, day-to-day.",BRANDON,MONTOUR,ANAHEIM,DUCKS
"Mar 02, 2017",Recalled from the San Diego Gulls (AHL).,BRANDON,MONTOUR,ANAHEIM,DUCKS
"Feb 25, 2017",Assigned to the San Diego Gulls (AHL).,BRANDON,MONTOUR,ANAHEIM,DUCKS
"Feb 04, 2017",Recalled from the San Diego Gulls (AHL).,BRANDON,MONTOUR,ANAHEIM,DUCKS
"Jan 11, 2017",Assigned to the San Diego Gulls (AHL).,BRANDON,MONTOUR,ANAHEIM,DUCKS
"Dec 28, 2016",Recalled from the San Diego Gulls (AHL).,BRANDON,MONTOUR,ANAHEIM,DUCKS
"Oct 06, 2016",Assigned to the San Diego Gulls (AHL).,BRANDON,MONTOUR,ANAHEIM,DUCKS
"Sep 28, 2015",Assigned to the San Diego Gulls (AHL).,BRANDON,MONTOUR,ANAHEIM,DUCKS
"Mar 16, 2015",Signed by the Anaheim Ducks to a three-year entry-level contract.,BRANDON,MONTOUR,ANAHEIM,DUCKS
