Date,Injury,Firstname,Lastname,City,TeamName
"Dec 18, 2017",Missed 3 games (upper body injury).,NICK,RITCHIE,ANAHEIM,DUCKS
"Dec 16, 2017","Upper body injury, injured reserve.",NICK,RITCHIE,ANAHEIM,DUCKS
"Dec 11, 2017","Upper body injury, day-to-day.",NICK,RITCHIE,ANAHEIM,DUCKS
"Oct 13, 2017",Missed 3 games (lower body injury).,NICK,RITCHIE,ANAHEIM,DUCKS
"Oct 07, 2017","Lower body injury, day-to-day.",NICK,RITCHIE,ANAHEIM,DUCKS
"Apr 30, 2017",Missed the last playoff game (flu).,NICK,RITCHIE,ANAHEIM,DUCKS
"Apr 28, 2017","Flu, day-to-day.",NICK,RITCHIE,ANAHEIM,DUCKS
"Apr 14, 2017",Missed the last regular season and first playoff games (suspended by nhl).,NICK,RITCHIE,ANAHEIM,DUCKS
"Apr 07, 2017","Fined $4,967 by the NHL.",NICK,RITCHIE,ANAHEIM,DUCKS
"Apr 07, 2017",Suspended by the NHL for 2 games.,NICK,RITCHIE,ANAHEIM,DUCKS
"Mar 12, 2017",Missed 2 games (upper body injury).,NICK,RITCHIE,ANAHEIM,DUCKS
"Mar 09, 2017","Upper body injury, day-to-day.",NICK,RITCHIE,ANAHEIM,DUCKS
"Jan 03, 2017",Recalled from the San Diego Gulls (AHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Jan 01, 2017",Assigned to the San Diego Gulls (AHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Nov 06, 2016",Missed 2 games (upper body injury).,NICK,RITCHIE,ANAHEIM,DUCKS
"Nov 02, 2016","Upper body injury, day-to-day.",NICK,RITCHIE,ANAHEIM,DUCKS
"Apr 18, 2016",Assigned to the San Diego Gulls (AHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Apr 16, 2016",Recalled from the San Diego Gulls (AHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Apr 15, 2016",Assigned to the San Diego Gulls (AHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Apr 09, 2016",Recalled from the San Diego Gulls (AHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Mar 29, 2016",Assigned to the San Diego Gulls (AHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Feb 12, 2016",Recalled from the San Diego Gulls (AHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Dec 09, 2015",Assigned to the San Diego Gulls (AHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Nov 14, 2015",Recalled from the San Diego Gulls (AHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Oct 05, 2015",Assigned to the San Diego Gulls (AHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"May 04, 2015",Recalled from the Peterborough Petes (OHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Sep 29, 2014",Returned to his junior team (Peterborough Petes-OHL).,NICK,RITCHIE,ANAHEIM,DUCKS
"Aug 02, 2014",Signed by the Anaheim Ducks to a three-year entry-level contract.,NICK,RITCHIE,ANAHEIM,DUCKS
