Date,Injury,Firstname,Lastname,City,TeamName
"Feb 16, 2018",Signed by the Calgary Flames to a six-year contract extension.,MIKAEL,BACKLUND,CALGARY,FLAMES
"Jun 20, 2015",Re-signed by the Calgary Flames to a three-year contract.,MIKAEL,BACKLUND,CALGARY,FLAMES
"Feb 04, 2015",Missed 1 game (illness).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Feb 02, 2015","Illness, day-to-day.",MIKAEL,BACKLUND,CALGARY,FLAMES
"Jan 07, 2015",Missed 29 games (abdomen).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Oct 30, 2014","Abdomen, injured reserve.",MIKAEL,BACKLUND,CALGARY,FLAMES
"Apr 13, 2014",Missed the last 5 regular season games (hand injury).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Apr 04, 2014","Hand injury, day-to-day.",MIKAEL,BACKLUND,CALGARY,FLAMES
"Jul 10, 2013",Re-signed as a restricted free agent by the Calgary Flames to a two-year contract.,MIKAEL,BACKLUND,CALGARY,FLAMES
"Jul 02, 2013",Calgary Flames tendered a qualifying offer.,MIKAEL,BACKLUND,CALGARY,FLAMES
"Mar 09, 2013",Missed 14 games (sprained knee).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Feb 08, 2013","Sprained knee, injured reserve.",MIKAEL,BACKLUND,CALGARY,FLAMES
"Oct 04, 2012",Signed with VIK Vasteras HK (Sweden).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Jul 05, 2012",Re-signed as a restricted free agent by the Calgary Flames to a one-year contract.,MIKAEL,BACKLUND,CALGARY,FLAMES
"Jun 25, 2012",Calgary Flames tendered a qualifying offer.,MIKAEL,BACKLUND,CALGARY,FLAMES
"Apr 07, 2012",Missed the last 26 regular season games (left arm injury).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Feb 16, 2012","Left arm injury, injured reserve.",MIKAEL,BACKLUND,CALGARY,FLAMES
"Feb 14, 2012","Left arm injury, sidelined indefinitely.",MIKAEL,BACKLUND,CALGARY,FLAMES
"Nov 11, 2011",Missed 14 games (finger injury).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Oct 04, 2011","Finger injury, injured reserve.",MIKAEL,BACKLUND,CALGARY,FLAMES
"Mar 06, 2011",Missed 1 game (flu).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Mar 04, 2011","Flu, day-to-day.",MIKAEL,BACKLUND,CALGARY,FLAMES
"Jan 04, 2011",Recalled from Abbotsford (AHL).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Jan 02, 2011",Assigned to Abbotsford (AHL).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Mar 02, 2010",Recalled from Abbotsford (AHL).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Feb 14, 2010",Assigned to Abbotsford (AHL).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Feb 13, 2010",Assigned to Abbotsford (AHL).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Jan 26, 2010",Recalled from Abbotsford (AHL).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Sep 24, 2009",Assigned to Abbotsford (AHL).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Jan 11, 2009",Assigned to Kelowna (WHL).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Jan 08, 2009",Recalled from Kelowna (WHL).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Jan 07, 2009",Assigned to Kelowna (WHL).,MIKAEL,BACKLUND,CALGARY,FLAMES
"Oct 04, 2008",Returned to his team (VIK Vasteras HK-Sweden).,MIKAEL,BACKLUND,CALGARY,FLAMES
"May 02, 2008",Signed by the Calgary Flames.,MIKAEL,BACKLUND,CALGARY,FLAMES
"Sep 12, 2007",Returned to his team (VIK Vasteras HK-Sweden).,MIKAEL,BACKLUND,CALGARY,FLAMES
