Date,Injury,Firstname,Lastname,City,TeamName
"Feb 16, 2017",Signed as a free agent by the Calgary Flames to a two-year two-way contract.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Feb 15, 2017",Signed by the Calgary Flames to a professional try-out contract.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Feb 15, 2017",Released by the Providence Bruins (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Oct 13, 2016",Signed with the Providence Bruins (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Oct 05, 2016",Released from training camp by the Ottawa Senators.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Sep 16, 2016",Signed by the Ottawa Senators to a professional try-out contract.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Mar 01, 2016",Missed 1 game (flu).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Feb 28, 2016","Flu, day-to-day.",MATT,BARTKOWSKI,CALGARY,FLAMES
"Jul 01, 2015",Signed as an unrestricted free agent by the Vancouver Canucks to a one-year contract.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Jul 14, 2014",Re-signed as a restricted free agent by the Boston Bruins to a one-year contract.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Jul 05, 2014",Filed for salary arbitration.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Jun 30, 2014",Boston Bruins tendered a qualifying offer.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Apr 22, 2014",Missed the last 2 regular season and first 3 playoff games (wrist injury).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Apr 18, 2014","Undisclosed, day-to-day.",MATT,BARTKOWSKI,CALGARY,FLAMES
"May 09, 2013",Recalled from Providence (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Apr 26, 2013",Assigned to Providence (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Mar 26, 2013",Signed by the Boston Bruins to a one-year contract extension.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Mar 22, 2013",Recalled from Providence (AHL) on an emergency basis.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Jan 17, 2013",Assigned to Providence (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Jan 09, 2013",Recalled from Providence (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Sep 14, 2012",Assigned to Providence (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Jul 12, 2012",Re-signed as a restricted free agent by the Boston Bruins to a one-year contract.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Oct 20, 2011",Assigned to Providence (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Apr 12, 2011",Recalled from Providence (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Mar 12, 2011",Assigned to Providence (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Mar 04, 2011",Recalled from Providence (AHL) on an emergency basis.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Jan 16, 2011",Assigned to Providence (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Jan 14, 2011",Recalled from Providence (AHL) on an emergency basis.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Jan 12, 2011",Assigned to Providence (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Jan 10, 2011",Recalled from Providence (AHL) on an emergency basis.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Oct 06, 2010",Assigned to Providence (AHL).,MATT,BARTKOWSKI,CALGARY,FLAMES
"Apr 29, 2010",Signed by the Boston Bruins to a two-year entry-level contract.,MATT,BARTKOWSKI,CALGARY,FLAMES
"Mar 03, 2010",Acquired from the Florida Panthers.,MATT,BARTKOWSKI,CALGARY,FLAMES
