Date,Injury,Firstname,Lastname,City,TeamName
"Mar 18, 2016",Missed 3 games (upper body injury).,T.J.,BRODIE,CALGARY,FLAMES
"Mar 11, 2016","Upper body injury, day-to-day.",T.J.,BRODIE,CALGARY,FLAMES
"Oct 28, 2015",Missed 9 games (hand injury).,T.J.,BRODIE,CALGARY,FLAMES
"Oct 06, 2015","Hand injury, injured reserve.",T.J.,BRODIE,CALGARY,FLAMES
"Oct 20, 2014",Signed by the Calgary Flames to a five-year contract extension.,T.J.,BRODIE,CALGARY,FLAMES
"Jul 31, 2013",Re-signed as a restricted free agent by the Calgary Flames to a two-year contract.,T.J.,BRODIE,CALGARY,FLAMES
"Jul 02, 2013",Calgary Flames tendered a qualifying offer.,T.J.,BRODIE,CALGARY,FLAMES
"Jan 13, 2013",Recalled from Abbotsford (AHL).,T.J.,BRODIE,CALGARY,FLAMES
"Sep 14, 2012",Assigned to Abbotsford (AHL).,T.J.,BRODIE,CALGARY,FLAMES
"Apr 07, 2012",Missed the last 14 regular season games (upper body injury).,T.J.,BRODIE,CALGARY,FLAMES
"Mar 11, 2012","Upper body injury, day-to-day.",T.J.,BRODIE,CALGARY,FLAMES
"Nov 09, 2011",Recalled from Abbotsford (AHL).,T.J.,BRODIE,CALGARY,FLAMES
"Sep 26, 2011",Assigned to Abbotsford (AHL).,T.J.,BRODIE,CALGARY,FLAMES
"Oct 19, 2010",Assigned to Abbotsford (AHL).,T.J.,BRODIE,CALGARY,FLAMES
"Sep 16, 2009",Returned to his junior team (Saginaw-OHL).,T.J.,BRODIE,CALGARY,FLAMES
"Jul 21, 2009",Signed by the Calgary Flames to an entry-level contract.,T.J.,BRODIE,CALGARY,FLAMES
"Sep 16, 2008",Returned to his junior team (Saginaw-OHL).,T.J.,BRODIE,CALGARY,FLAMES
