Date,Injury,Firstname,Lastname,City,TeamName
"Mar 10, 2017","Fined $2,000 by the NHL.",JOHNNY,GAUDREAU,CALGARY,FLAMES
"Dec 04, 2016",Missed 10 games (fractured finger).,JOHNNY,GAUDREAU,CALGARY,FLAMES
"Nov 21, 2016","Fractured finger, injured reserve.",JOHNNY,GAUDREAU,CALGARY,FLAMES
"Nov 16, 2016","Fractured finger, sidelined indefinitely.",JOHNNY,GAUDREAU,CALGARY,FLAMES
"Oct 10, 2016",Re-signed as a restricted free agent by the Calgary Flames to a six-year contract.,JOHNNY,GAUDREAU,CALGARY,FLAMES
"Jun 27, 2016",Calgary Flames tendered a qualifying offer.,JOHNNY,GAUDREAU,CALGARY,FLAMES
"Mar 31, 2016",Missed 2 games (upper body injury).,JOHNNY,GAUDREAU,CALGARY,FLAMES
"Mar 28, 2016","Upper body injury, day-to-day.",JOHNNY,GAUDREAU,CALGARY,FLAMES
"Feb 10, 2016",Missed 1 game (disciplinary).,JOHNNY,GAUDREAU,CALGARY,FLAMES
"Feb 09, 2016","Disciplinary, day-to-day.",JOHNNY,GAUDREAU,CALGARY,FLAMES
"Apr 11, 2014",Signed by the Calgary Flames to a three-year entry-level contract.,JOHNNY,GAUDREAU,CALGARY,FLAMES
