Date,Injury,Firstname,Lastname,City,TeamName
"Aug 25, 2015",Signed by the Calgary Flames to a six-year contract extension.,MARK,GIORDANO,CALGARY,FLAMES
"May 10, 2015",Missed the last 21 regular season and all 11 playoff games (biceps injury).,MARK,GIORDANO,CALGARY,FLAMES
"Mar 01, 2015","Upper body injury, injured reserve.",MARK,GIORDANO,CALGARY,FLAMES
"Feb 27, 2015","Upper body injury, day-to-day.",MARK,GIORDANO,CALGARY,FLAMES
"Dec 04, 2013",Missed 18 games (lower body injury).,MARK,GIORDANO,CALGARY,FLAMES
"Oct 26, 2013","Lower body injury, injured reserve.",MARK,GIORDANO,CALGARY,FLAMES
"Oct 22, 2013","Undisclosed, day-to-day.",MARK,GIORDANO,CALGARY,FLAMES
"Apr 06, 2013",Missed 1 game (personal reasons).,MARK,GIORDANO,CALGARY,FLAMES
"Apr 05, 2013","Personal reasons, day-to-day.",MARK,GIORDANO,CALGARY,FLAMES
"Feb 19, 2013","Fined $10,000 by the NHL.",MARK,GIORDANO,CALGARY,FLAMES
"Jan 12, 2012",Missed 21 games (leg injury).,MARK,GIORDANO,CALGARY,FLAMES
"Nov 30, 2011","Leg injury, injured reserve.",MARK,GIORDANO,CALGARY,FLAMES
"Oct 29, 2010",Signed by the Calgary Flames to a five-year contract extension.,MARK,GIORDANO,CALGARY,FLAMES
"Apr 27, 2009",Missed 24 regular season and 6 playoff games (shoulder surgery).,MARK,GIORDANO,CALGARY,FLAMES
"Feb 21, 2009","Shoulder surgery, sidelined indefinitely.",MARK,GIORDANO,CALGARY,FLAMES
"Jul 01, 2008",Re-signed as a restricted free agent by the Calgary Flames.,MARK,GIORDANO,CALGARY,FLAMES
"Aug 28, 2007",Signed with Dynamo Moscow of the Russian Hockey League.,MARK,GIORDANO,CALGARY,FLAMES
"Apr 24, 2007",Assigned to Omaha (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Dec 12, 2006",Recalled from Omaha (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Dec 02, 2006",Assigned to Omaha (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Nov 20, 2006",Recalled from Omaha (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Nov 15, 2006",Assigned to Omaha (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Apr 06, 2006",Recalled from Omaha (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Feb 28, 2006",Assigned to Omaha (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Feb 26, 2006",Recalled from Omaha (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Feb 02, 2006",Assigned to Omaha (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Jan 30, 2006",Recalled from Omaha (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Oct 03, 2005",Assigned to Omaha (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Sep 15, 2004",Assigned to Lowell (AHL).,MARK,GIORDANO,CALGARY,FLAMES
"Jul 06, 2004",Signed as a free agent by the Calgary Flames.,MARK,GIORDANO,CALGARY,FLAMES
