Date,Injury,Firstname,Lastname,City,TeamName
"Nov 29, 2017",Recalled from the Stockton Heat (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
"Oct 05, 2017",Assigned to the Stockton Heat (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
"Oct 02, 2017",Placed on waivers by the Calgary Flames.,GARNET,HATHAWAY,CALGARY,FLAMES
"Jul 20, 2017",Re-signed as a restricted free agent by the Calgary Flames to a one-year two-way contract.,GARNET,HATHAWAY,CALGARY,FLAMES
"Jun 26, 2017",Calgary Flames tendered a qualifying offer.,GARNET,HATHAWAY,CALGARY,FLAMES
"Mar 24, 2017",Assigned to the Stockton Heat (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
"Mar 21, 2017",Recalled from the Stockton Heat (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
"Feb 21, 2017",Assigned to the Stockton Heat (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
"Feb 07, 2017",Missed 9 games (upper body injury).,GARNET,HATHAWAY,CALGARY,FLAMES
"Jan 23, 2017","Upper body injury, injured reserve.",GARNET,HATHAWAY,CALGARY,FLAMES
"Jan 17, 2017","Upper body injury, day-to-day.",GARNET,HATHAWAY,CALGARY,FLAMES
"Nov 12, 2016",Recalled from the Stockton Heat (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
"Oct 08, 2016",Assigned to the Stockton Heat (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
"Mar 28, 2016",Assigned to the Stockton Heat (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
"Feb 29, 2016",Recalled from the Stockton Heat (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
"Oct 02, 2015",Assigned to the Stockton Heat (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
"Apr 13, 2015",Signed as a free agent by the Calgary Flames to an entry-level contract.,GARNET,HATHAWAY,CALGARY,FLAMES
"Sep 27, 2014",Re-assigned to the Adirondack Flames (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
"Sep 27, 2014",Released from training camp by the Calgary Flames.,GARNET,HATHAWAY,CALGARY,FLAMES
"Sep 17, 2014",Invited to training camp by the Calgary Flames.,GARNET,HATHAWAY,CALGARY,FLAMES
"Mar 14, 2014",Signed with the Abbotsford Heat (AHL).,GARNET,HATHAWAY,CALGARY,FLAMES
