Date,Injury,Firstname,Lastname,City,TeamName
"Mar 02, 2018",Missed 1 game (illness).,NICK,SHORE,CALGARY,FLAMES
"Feb 28, 2018","Illness, day-to-day.",NICK,SHORE,CALGARY,FLAMES
"Feb 26, 2018",Acquired from the Ottawa Senators.,NICK,SHORE,CALGARY,FLAMES
"Feb 13, 2018",Acquired from the Los Angeles Kings.,NICK,SHORE,CALGARY,FLAMES
"Feb 01, 2018",Missed 2 games (lower body injury).,NICK,SHORE,CALGARY,FLAMES
"Jan 24, 2018","Lower body injury, day-to-day.",NICK,SHORE,CALGARY,FLAMES
"Nov 02, 2017",Missed 3 games (undisclosed).,NICK,SHORE,CALGARY,FLAMES
"Oct 26, 2017","Undisclosed, day-to-day.",NICK,SHORE,CALGARY,FLAMES
"Jul 06, 2017",Re-signed as a restricted free agent by the Los Angeles Kings to a one-year contract.,NICK,SHORE,CALGARY,FLAMES
"Jun 26, 2017",Los Angeles Kings tendered a qualifying offer.,NICK,SHORE,CALGARY,FLAMES
"Mar 29, 2017",Missed 11 games (upper body injury).,NICK,SHORE,CALGARY,FLAMES
"Mar 04, 2017","Upper body injury, day-to-day.",NICK,SHORE,CALGARY,FLAMES
"Jul 16, 2015",Re-signed as a restricted free agent by the Los Angeles Kings to a two-year contract.,NICK,SHORE,CALGARY,FLAMES
"Apr 19, 2015",Assigned to the Manchester Monarchs (AHL).,NICK,SHORE,CALGARY,FLAMES
"Jan 26, 2015",Recalled from the Manchester Monarchs (AHL).,NICK,SHORE,CALGARY,FLAMES
"Jan 22, 2015",Assigned to the Manchester Monarchs (AHL).,NICK,SHORE,CALGARY,FLAMES
"Jan 11, 2015",Recalled from the Manchester Monarchs (AHL).,NICK,SHORE,CALGARY,FLAMES
"Sep 29, 2014",Assigned to the Manchester Monarchs (AHL).,NICK,SHORE,CALGARY,FLAMES
"May 16, 2014",Assigned to the Manchester Monarchs (AHL).,NICK,SHORE,CALGARY,FLAMES
"May 07, 2014",Recalled from the Manchester Monarchs (AHL).,NICK,SHORE,CALGARY,FLAMES
"Sep 26, 2013",Loaned to Manchester (AHL).,NICK,SHORE,CALGARY,FLAMES
"Apr 13, 2013",Signed by the Los Angeles Kings to a three-year entry-level contract.,NICK,SHORE,CALGARY,FLAMES
