Date,Injury,Firstname,Lastname,City,TeamName
"Dec 08, 2017",Missed 1 game (suspended by nhl).,MATTHEW,TKACHUK,CALGARY,FLAMES
"Dec 07, 2017",Suspended by the NHL for 1 game.,MATTHEW,TKACHUK,CALGARY,FLAMES
"Dec 07, 2017","Fined $11,280 by the NHL.",MATTHEW,TKACHUK,CALGARY,FLAMES
"Nov 19, 2017",Missed 1 game (suspended by nhl).,MATTHEW,TKACHUK,CALGARY,FLAMES
"Nov 17, 2017",Suspended by the NHL for 1 game.,MATTHEW,TKACHUK,CALGARY,FLAMES
"Nov 17, 2017","Fined $4,973 by the NHL.",MATTHEW,TKACHUK,CALGARY,FLAMES
"Mar 24, 2017",Missed 2 games (suspended by nhl).,MATTHEW,TKACHUK,CALGARY,FLAMES
"Mar 20, 2017",Suspended by the NHL for 2 games.,MATTHEW,TKACHUK,CALGARY,FLAMES
"Mar 20, 2017","Fined $10,277 by the NHL.",MATTHEW,TKACHUK,CALGARY,FLAMES
"Nov 15, 2016",Missed 2 games (hand injury).,MATTHEW,TKACHUK,CALGARY,FLAMES
"Nov 10, 2016","Hand injury, day-to-day.",MATTHEW,TKACHUK,CALGARY,FLAMES
"Jul 07, 2016",Signed by the Calgary Flames to a three-year entry-level contract.,MATTHEW,TKACHUK,CALGARY,FLAMES
