Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2017",Acquired from the Tampa Bay Lightning.,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Nov 10, 2016",Missed 1 game (lower body injury).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Nov 07, 2016","Lower body injury, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Mar 28, 2016",Missed 6 games (upper body injury).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Mar 15, 2016","Upper body injury, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Apr 16, 2014",Missed the last 2 regular season games (lower body injury).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Apr 11, 2014","Lower body injury, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Mar 04, 2014",Missed 4 games (fractured ankle).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Feb 07, 2014","Fractured ankle, injured reserve.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Feb 04, 2014",Missed 1 game (lower body injury).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Jan 31, 2014","Lower body injury, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Jul 05, 2013",Signed as an unrestricted free agent by the Tampa Bay Lightning to a five-year contract.,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Mar 13, 2013",Missed 7 games (left shoulder injury).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Mar 05, 2013","Left shoulder injury, injured reserve.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Feb 27, 2013","Left shoulder injury, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Sep 21, 2012",Signed with Jokerit Helsinki (Finland).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Dec 08, 2011",Missed 1 game (shin injury).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Dec 06, 2011","Shin injury, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Feb 26, 2011",Missed 8 games (left knee injury).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Feb 09, 2011","Left knee injury, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Jan 26, 2011",Missed 1 game (flu).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Jan 22, 2011","Flu, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Jan 10, 2011",Missed 2 games (groin).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Jan 07, 2011","Groin, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Feb 14, 2010",Missed 1 game (groin).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Feb 13, 2010","Groin, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Dec 26, 2009",Missed 26 games (broken right wrist).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Oct 30, 2009","Broken right wrist, late December.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Mar 20, 2009",Missed 2 games (back spasms).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Mar 15, 2009","Back spasms, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Jul 30, 2008",Re-signed as a restricted free agent by the Detroit Red wings to a five-year contract.,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Mar 28, 2008",Missed 4 games (groin).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Mar 19, 2008","Groin, day-to-day.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Nov 04, 2006",Recalled from Grand Rapids (AHL).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Nov 01, 2006",Assigned to Grand Rapids (AHL).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Oct 19, 2006",Recalled from Grand Rapids (AHL).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Oct 12, 2006",Missed 3 games (finger injury) and assigned to Grand Rapids (AHL).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Oct 03, 2006","Finger injury, sidelined indefinitely.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Apr 18, 2006",Assigned to Grand Rapids (AHL).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Apr 17, 2006",Recalled from Grand Rapids (AHL).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Apr 09, 2006",Assigned to Grand Rapids (AHL).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Apr 08, 2006",Recalled from Grand Rapids (AHL).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Dec 19, 2005",Assigned to Grand Rapids (AHL).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Dec 14, 2005",Recalled from Grand Rapids (AHL).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Sep 29, 2005",Assigned to Grand Rapids (AHL).,VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
"Aug 19, 2005","Signed by the Detroit Red Wings to a three-year, entry-level contract.",VALTTERI,FILPPULA,PHILADELPHIA,FLYERS
