Date,Injury,Firstname,Lastname,City,TeamName
"Jan 16, 2018",Missed 1 game (illness).,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Jan 12, 2018","Illness, day-to-day.",SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Nov 04, 2017",Missed 3 games (upper body injury).,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Oct 29, 2017","Upper body injury, day-to-day.",SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Jun 09, 2017",Signed by the Philadelphia Flyers to a six-year contract extension.,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Dec 13, 2016",Missed 1 game (hand injury).,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Dec 11, 2016","Hand injury, day-to-day.",SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Jan 16, 2016",Missed 2 games (lower body injury).,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Jan 08, 2016","Lower body injury, day-to-day.",SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Nov 14, 2015",Recalled from the Lehigh Valley Phantoms (AHL).,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Sep 26, 2015",Assigned to the Lehigh Valley Phantoms (AHL).,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Oct 31, 2014",Assigned to the Lehigh Valley Phantoms (AHL).,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Oct 24, 2014",Recalled from the Lehigh Valley Phantoms (AHL).,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Oct 01, 2014",Assigned to the Lehigh Valley Phantoms (AHL).,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Apr 15, 2014",Signed by the Philadelphia Flyers to a three-year entry-level contract.,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
"Apr 15, 2014",Re-assigned to the Adirondack Phantoms (AHL).,SHAYNE,GOSTISBEHERE,PHILADELPHIA,FLYERS
