Date,Injury,Firstname,Lastname,City,TeamName
"Jul 11, 2017",Re-signed as a restricted free agent by the Philadelphia Flyers to a two-year contract.,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Jun 26, 2017",Philadelphia Flyers tendered a qualifying offer.,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Dec 05, 2016",Assigned to the Lehigh Valley Phantoms (AHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Nov 23, 2016",Recalled from the Lehigh Valley Phantoms (AHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Nov 09, 2016",Missed 14 games (lower body injury).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Nov 09, 2016",Assigned to the Lehigh Valley Phantoms (AHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Nov 03, 2016",Assigned to the Lehigh Valley Phantoms (AHL) for conditioning purposes.,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Oct 11, 2016","Lower body injury, injured reserve.",SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Apr 24, 2016",Missed the last 2 playoff games (upper body injury).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Apr 21, 2016","Upper body injury, day-to-day.",SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Feb 14, 2015",Assigned to the Lehigh Valley Phantoms (AHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Feb 05, 2015",Missed 7 games (upper body injury).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Jan 20, 2015","Upper body injury, injured reserve.",SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Jan 15, 2015","Upper body injury, day-to-day.",SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Jan 06, 2015",Missed 1 game (undisclosed).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Jan 03, 2015","Undisclosed, day-to-day.",SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Nov 18, 2014",Recalled from the Lehigh Valley Phantoms (AHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Oct 01, 2014",Assigned to the Lehigh Valley Phantoms (AHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Apr 24, 2014",Recalled from the Oshawa Generals (OHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Oct 03, 2013",Loaned to Oshawa (OHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Apr 22, 2013",Recalled from Adirondack (AHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Apr 11, 2013",Re-assigned to Adirondack (AHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Jan 27, 2013",Assigned to Oshawa (OHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Jan 13, 2013",Recalled from Oshawa (OHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Sep 15, 2012",Returned to his junior team (Oshawa-OHL).,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
"Aug 08, 2012",Signed by the Philadelphia Flyers to an entry-level contract.,SCOTT,LAUGHTON,PHILADELPHIA,FLYERS
