Date,Injury,Firstname,Lastname,City,TeamName
"Dec 18, 2017",Missed 1 game (illness).,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Dec 16, 2017","Illness, day-to-day.",JORI,LEHTERA,PHILADELPHIA,FLYERS
"Jun 23, 2017",Acquired from the St. Louis Blues.,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Apr 09, 2017",Missed 1 game (illness).,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Apr 08, 2017","Illness, day-to-day.",JORI,LEHTERA,PHILADELPHIA,FLYERS
"Apr 04, 2017",Missed 11 games (upper body injury).,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Mar 13, 2017","Upper body injury, day-to-day.",JORI,LEHTERA,PHILADELPHIA,FLYERS
"Oct 27, 2016",Missed 4 games (upper body injury).,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Oct 19, 2016","Upper body injury, injured reserve.",JORI,LEHTERA,PHILADELPHIA,FLYERS
"Oct 18, 2016","Upper body injury, day-to-day.",JORI,LEHTERA,PHILADELPHIA,FLYERS
"Mar 06, 2016",Missed 3 games (upper body injury).,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Feb 27, 2016","Upper body injury, day-to-day.",JORI,LEHTERA,PHILADELPHIA,FLYERS
"Jul 01, 2015",Signed by the St. Louis Blues to a three-year contract extension.,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Apr 26, 2015",Missed the last playoff game (lower body injury).,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Apr 24, 2015","Lower body injury, day-to-day.",JORI,LEHTERA,PHILADELPHIA,FLYERS
"Feb 10, 2015",Missed 6 games (concussion).,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Jan 30, 2015","Upper body injury, day-to-day.",JORI,LEHTERA,PHILADELPHIA,FLYERS
"Oct 23, 2014",Missed 1 game (flu).,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Oct 19, 2014","Flu, day-to-day.",JORI,LEHTERA,PHILADELPHIA,FLYERS
"Jul 01, 2014",Re-signed as a restricted free agent by the St. Louis Blues to a two-year contract.,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Jun 01, 2010",Signed by the St. Louis Blues to a two-year entry-level contract.,JORI,LEHTERA,PHILADELPHIA,FLYERS
"Mar 18, 2009",Signed by the Peoria Rivermen (AHL).,JORI,LEHTERA,PHILADELPHIA,FLYERS
