Date,Injury,Firstname,Lastname,City,TeamName
"Dec 23, 2017",Missed 2 games (upper body injury).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Dec 20, 2017","Upper body injury, day-to-day.",TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Oct 26, 2017",Missed 2 games (upper body injury).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Oct 21, 2017","Undisclosed, day-to-day.",TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Jul 13, 2017",Re-signed as a restricted free agent by the Philadelphia Flyers to a one-year two-way contract.,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Jun 26, 2017",Philadelphia Flyers tendered a qualifying offer.,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Jan 01, 2017",Assigned to the Lehigh Valley Phantoms (AHL).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Dec 05, 2016",Recalled from the Lehigh Valley Phantoms (AHL).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Oct 26, 2016",Assigned to the Lehigh Valley Phantoms (AHL).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Oct 25, 2016",Recalled from the Lehigh Valley Phantoms (AHL).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Oct 05, 2016",Assigned to the Lehigh Valley Phantoms (AHL).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Apr 18, 2016",Recalled from the Lehigh Valley Phantoms (AHL).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Nov 27, 2015",Assigned to the Lehigh Valley Phantoms (AHL).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Nov 14, 2015",Recalled from the Lehigh Valley Phantoms (AHL).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Sep 23, 2015",Assigned to the Lehigh Valley Phantoms (AHL).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Sep 26, 2014",Assigned to the Lehigh Valley Phantoms (AHL).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Sep 18, 2013",Returned to his junior team (Portland-WHL).,TAYLOR,LEIER,PHILADELPHIA,FLYERS
"Sep 09, 2013",Signed by the Philadelphia Flyers to a three-year entry-level contract.,TAYLOR,LEIER,PHILADELPHIA,FLYERS
