Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Feb 26, 2018",Recalled from the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Feb 11, 2018",Recalled from the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Feb 05, 2018",Assigned to the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Jan 30, 2018",Recalled from the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Jan 26, 2018",Assigned to the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Jan 25, 2018",Recalled from the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Dec 26, 2017",Assigned to the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Dec 06, 2017",Recalled from the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Oct 04, 2017",Assigned to the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Sep 28, 2017",Recalled from the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Sep 23, 2017",Assigned to the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Jul 16, 2017",Re-signed as a restricted free agent by the Philadelphia Flyers to a one-year two-way contract.,ALEX,LYON,PHILADELPHIA,FLYERS
"Jun 26, 2017",Philadelphia Flyers tendered a qualifying offer.,ALEX,LYON,PHILADELPHIA,FLYERS
"Sep 29, 2016",Assigned to the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Apr 14, 2016",Assigned to the Lehigh Valley Phantoms (AHL).,ALEX,LYON,PHILADELPHIA,FLYERS
"Apr 05, 2016",Signed as an undrafted free agent by the Philadelphia Flyers to a two-year entry-level contract.,ALEX,LYON,PHILADELPHIA,FLYERS
