Date,Injury,Firstname,Lastname,City,TeamName
"Nov 27, 2017",Missed 15 games (lower body injury).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Oct 24, 2017","Lower body injury, injured reserve.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Nov 17, 2016",Missed 6 games (lower body injury).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Nov 03, 2016","Lower body injury, day-to-day.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 15, 2016",Missed 1 game (lower body injury).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 12, 2016","Lower body injury, day-to-day.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Feb 13, 2016",Recalled from the Lehigh Valley Phantoms (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Dec 12, 2015",Assigned to the Lehigh Valley Phantoms (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Dec 07, 2015",Recalled from the Lehigh Valley Phantoms (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Oct 05, 2015",Placed on waivers by the Philadelphia Flyers for the purpose of being assigned to the Lehigh Valley Phantoms (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Apr 11, 2015",Missed the last 7 regular season games (fractured right hand).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 26, 2015","Fractured right hand, remainder of the regular season.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Feb 15, 2015",Missed 1 game (personal reasons).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Feb 13, 2015","Personal reasons, day-to-day.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Nov 20, 2014",Missed 10 games (lower body injury).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Oct 28, 2014","Lower body injury, injured reserve.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Oct 24, 2014","Lower body injury, sidelined indefinitely.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Apr 15, 2014",Signed by the Philadelphia Flyers to a six-year contract extension.,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 04, 2014",Acquired from the New York Islanders.,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"May 11, 2013",Missed the last 2 playoff games (broken hand).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"May 09, 2013","Broken hand, remainder of the playoffs.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Oct 09, 2012",Signed with HC Energie Karlovy Vary (Czech Republic).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Dec 17, 2011",Missed 7 games (right leg injury).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Dec 05, 2011","Right leg injury, injured reserve.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Dec 02, 2011","Right leg injury, day-to-day.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Apr 10, 2011",Missed the last 7 regular season games (hip injury).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 26, 2011","Hip injury, remainder of the regular season.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Dec 02, 2010",Missed 15 games (fractured hand).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Oct 22, 2010","Fractured hand, injured reserve.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Apr 12, 2010",Assigned to Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 30, 2010",Missed 12 games (broken foot).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 04, 2010","Broken foot, mid-April.",ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Feb 25, 2010",Signed by the New York Islanders to a four-year contract extension.,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Dec 19, 2009",Recalled from Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Dec 18, 2009",Assigned to Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Dec 03, 2009",Recalled from Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Nov 30, 2009",Assigned to Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Nov 28, 2009",Recalled from Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Nov 25, 2009",Assigned to Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Nov 20, 2009",Recalled from Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Nov 17, 2009",Assigned to Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Nov 16, 2009",Recalled from Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 07, 2009",Assigned to Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 05, 2009",Recalled from Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 03, 2009",Assigned to Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Feb 28, 2009",Recalled from Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Sep 30, 2008",Assigned to Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Apr 05, 2008",Assigned to Utah (ECHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 18, 2008",Recalled from Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Mar 14, 2008",Re-assigned to Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Dec 15, 2007",Re-assigned to Utah (ECHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Sep 26, 2007",Assigned to Bridgeport (AHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"May 24, 2007",Re-signed by the New York Islanders to a three-year contract.,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
"Sep 26, 2006",Returned to his junior team (Moncton-QMJHL).,ANDREW,MACDONALD,PHILADELPHIA,FLYERS
