Date,Injury,Firstname,Lastname,City,TeamName
"Dec 29, 2017",Missed 10 games (undisclosed).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Dec 06, 2017","Undisclosed, injured reserve.",BRANDON,MANNING,PHILADELPHIA,FLYERS
"Apr 08, 2017",Missed 1 game (upper body injury).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Apr 04, 2017","Upper body injury, day-to-day.",BRANDON,MANNING,PHILADELPHIA,FLYERS
"Mar 19, 2017",Missed 3 games (upper body injury).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Mar 13, 2017","Upper body injury, day-to-day.",BRANDON,MANNING,PHILADELPHIA,FLYERS
"Mar 03, 2017",Missed 2 games (suspended by nhl).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Feb 27, 2017","Fined $10,833 by the NHL.",BRANDON,MANNING,PHILADELPHIA,FLYERS
"Feb 27, 2017",Suspended by the NHL for 2 games.,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Dec 02, 2016",Missed 3 games (concussion).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Nov 27, 2016","Undisclosed, day-to-day.",BRANDON,MANNING,PHILADELPHIA,FLYERS
"Jul 26, 2016",Re-signed as a restricted free agent by the Philadelphia Flyers to a two-year contract.,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Jul 05, 2016",Filed for salary arbitration.,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Jun 27, 2016",Philadelphia Flyers tendered a qualifying offer.,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Apr 11, 2015",Assigned to the Lehigh Valley Phantoms (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Apr 10, 2015",Signed by the Philadelphia Flyers to a one-year contract extension.,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Mar 26, 2015",Recalled from the Lehigh Valley Phantoms (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Mar 19, 2015",Assigned to the Lehigh Valley Phantoms (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Mar 07, 2015",Recalled from the Lehigh Valley Phantoms (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Jan 21, 2015",Assigned to the Lehigh Valley Phantoms (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Jan 19, 2015",Recalled from the Lehigh Valley Phantoms (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Nov 05, 2014",Assigned to the Lehigh Valley Phantoms (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Oct 29, 2014",Recalled from the Lehigh Valley Phantoms (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Sep 26, 2014",Placed on waivers by the Philadelphia Flyers for the purpose of being assigned to the Lehigh Valley Phantoms (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Aug 27, 2014",Re-signed as a restricted free agent by the Philadelphia Flyers to a one-year contract.,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Jun 30, 2014",Philadelphia Flyers tendered a qualifying offer.,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Apr 22, 2014",Recalled from the Adirondack Phantoms (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Sep 18, 2013",Assigned to Adirondack (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Aug 29, 2013",Re-signed as a restricted free agent by the Philadelphia Flyers to a one-year contract.,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Jul 01, 2013",Philadelphia Flyers tendered a qualifying offer.,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Apr 16, 2013",Recalled from Adirondack (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Sep 15, 2012",Assigned to Adirondack (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Apr 17, 2012",Recalled from Adirondack (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Mar 21, 2012",Assigned to Adirondack (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Mar 18, 2012",Recalled from Adirondack (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Mar 14, 2012",Assigned to Adirondack (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Mar 08, 2012",Recalled from Adirondack (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Dec 03, 2011",Missed 24 games (undisclosed).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Dec 03, 2011",Assigned to Adirondack (AHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Oct 05, 2011","Undisclosed, injured reserve.",BRANDON,MANNING,PHILADELPHIA,FLYERS
"Nov 23, 2010",Signed as a free agent by the Philadelphia Flyers to a three-year entry-level contract.,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Sep 27, 2010",Released from training camp by the New York Rangers.,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Sep 19, 2009",Returned to his junior team (Chilliwack-WHL).,BRANDON,MANNING,PHILADELPHIA,FLYERS
"Sep 12, 2009",Invited to training camp by the Toronto Maple Leafs.,BRANDON,MANNING,PHILADELPHIA,FLYERS
