Date,Injury,Firstname,Lastname,City,TeamName
"Feb 19, 2018",Acquired from the Detroit Red Wings.,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Jul 27, 2016",Re-signed as a restricted free agent by the Detroit Red Wings to a two-year contract.,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Jul 07, 2016",Filed for salary arbitration.,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Jun 28, 2016",Detroit Red Wings tendered a qualifying offer.,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Mar 22, 2016",Missed 2 games (illness).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Mar 17, 2016","Illness, day-to-day.",PETR,MRAZEK,PHILADELPHIA,FLYERS
"Mar 02, 2016",Missed 1 game (groin).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Feb 29, 2016","Groin, day-to-day.",PETR,MRAZEK,PHILADELPHIA,FLYERS
"Mar 09, 2015",Recalled from the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Feb 17, 2015",Assigned to the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Nov 15, 2014",Recalled from the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Nov 10, 2014",Assigned to the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Nov 06, 2014",Recalled from the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Oct 20, 2014",Assigned to the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Oct 18, 2014",Recalled from the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Oct 07, 2014",Assigned to the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Jul 01, 2014",Signed by the Detroit Red Wings to a one-year contract extension.,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Apr 14, 2014",Assigned to the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Apr 11, 2014",Recalled from the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Mar 20, 2014",Assigned to the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Mar 08, 2014",Recalled from the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Jan 27, 2014",Assigned to the Grand Rapids Griffins (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Dec 11, 2013",Recalled from Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Nov 05, 2013",Assigned to Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Nov 01, 2013",Recalled from Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Oct 16, 2013",Assigned to Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Oct 15, 2013",Recalled from Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Oct 11, 2013",Assigned to Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Oct 01, 2013",Recalled from Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Sep 30, 2013",Assigned to Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Feb 18, 2013",Assigned to Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Feb 04, 2013",Recalled from Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Oct 09, 2012",Re-assigned to Toledo Walleye (ECHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Oct 07, 2012",Re-assigned to Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Oct 06, 2012",Re-assigned to Toledo Walleye (ECHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Sep 14, 2012",Assigned to Grand Rapids (AHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Oct 19, 2011",Signed by the Detroit Red Wings to a three-year entry-level contract.,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Sep 19, 2011",Returned to his junior team (Ottawa-OHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
"Sep 20, 2010",Returned to his junior team (Ottawa-OHL).,PETR,MRAZEK,PHILADELPHIA,FLYERS
