Date,Injury,Firstname,Lastname,City,TeamName
"Apr 09, 2017",Missed the last 20 regular season games (lower body injury).,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Mar 02, 2017","Lower body injury, injured reserve.",MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Dec 30, 2016",Missed 1 game (lower body injury).,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Dec 27, 2016","Lower body injury, day-to-day.",MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Nov 03, 2016",Missed 8 games (abdominal injury).,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Oct 25, 2016","Abdominal injury, injured reserve.",MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Oct 19, 2016","Abdominal injury, sidelined indefinitely.",MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Feb 28, 2016",Signed by the Philadelphia Flyers to a three-year contract extension.,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Feb 15, 2015",Missed 7 games (pneumonia).,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Jan 27, 2015","Illness, day-to-day.",MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Nov 26, 2014",Missed 8 games (lower body injury).,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Nov 20, 2014","Lower body injury, injured reserve.",MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Nov 05, 2014","Lower body injury, sidelined indefinitely.",MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Mar 22, 2014",Signed by the Philadelphia Flyers to a two-year contract extension.,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Mar 05, 2014",Recalled from the Adirondack Phantoms (AHL).,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Mar 04, 2014",Assigned to the Adirondack Phantoms (AHL).,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Jan 07, 2014",Missed 1 game (concussion).,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Jan 03, 2014","Concussion, day-to-day.",MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Nov 15, 2013",Missed 2 games (flu).,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Nov 12, 2013","Flu, day-to-day.",MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Oct 12, 2013",Recalled from Adirondack (AHL).,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"Sep 27, 2013",Loaned to Adirondack (AHL).,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
"May 31, 2013",Signed as a free agent by the Philadelphia Flyers to a three-year entry-level contract.,MICHAEL,RAFFL,PHILADELPHIA,FLYERS
