Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Recalled from the Lehigh Valley Phantoms (AHL).,MATT,READ,PHILADELPHIA,FLYERS
"Nov 22, 2017",Assigned to the Lehigh Valley Phantoms (AHL).,MATT,READ,PHILADELPHIA,FLYERS
"Nov 20, 2017",Placed on waivers by the Philadelphia Flyers.,MATT,READ,PHILADELPHIA,FLYERS
"Oct 19, 2017",Recalled from the Lehigh Valley Phantoms (AHL).,MATT,READ,PHILADELPHIA,FLYERS
"Oct 03, 2017",Assigned to the Lehigh Valley Phantoms (AHL).,MATT,READ,PHILADELPHIA,FLYERS
"Oct 02, 2017",Placed on waivers by the Philadelphia Flyers.,MATT,READ,PHILADELPHIA,FLYERS
"Apr 09, 2017",Missed the last 5 regular season games (upper body injury).,MATT,READ,PHILADELPHIA,FLYERS
"Mar 31, 2017","Upper body injury, remainder of the regular season.",MATT,READ,PHILADELPHIA,FLYERS
"Jan 21, 2017",Missed 2 games (lower body injury).,MATT,READ,PHILADELPHIA,FLYERS
"Jan 14, 2017","Lower body injury, day-to-day.",MATT,READ,PHILADELPHIA,FLYERS
"Jan 01, 2017",Missed 11 games (oblique).,MATT,READ,PHILADELPHIA,FLYERS
"Dec 07, 2016","Oblique, injured reserve.",MATT,READ,PHILADELPHIA,FLYERS
"Dec 05, 2016","Oblique, sidelined indefinitely.",MATT,READ,PHILADELPHIA,FLYERS
"Mar 21, 2015",Missed 2 games (personal reasons).,MATT,READ,PHILADELPHIA,FLYERS
"Mar 17, 2015","Personal reasons, day-to-day.",MATT,READ,PHILADELPHIA,FLYERS
"Jan 14, 2014",Missed 6 games (concussion).,MATT,READ,PHILADELPHIA,FLYERS
"Jan 11, 2014","Concussion, injured reserve.",MATT,READ,PHILADELPHIA,FLYERS
"Jan 02, 2014","Concussion, sidelined indefinitely.",MATT,READ,PHILADELPHIA,FLYERS
"Nov 29, 2013",Missed 1 game (lower body injury).,MATT,READ,PHILADELPHIA,FLYERS
"Nov 27, 2013","Lower body injury, day-to-day.",MATT,READ,PHILADELPHIA,FLYERS
"Sep 20, 2013",Signed by the Philadelphia Flyers to a four-year contract extension.,MATT,READ,PHILADELPHIA,FLYERS
"Mar 07, 2013",Missed 6 games (torn ribcage muscle).,MATT,READ,PHILADELPHIA,FLYERS
"Feb 22, 2013","Torn ribcage muscle, injured reserve.",MATT,READ,PHILADELPHIA,FLYERS
"Feb 21, 2013","Torn ribcage muscle, sidelined indefinitely.",MATT,READ,PHILADELPHIA,FLYERS
"Sep 30, 2012",Signed with Sodertalje SK (Sweden).,MATT,READ,PHILADELPHIA,FLYERS
"Nov 09, 2011",Missed 3 games (upper body injury).,MATT,READ,PHILADELPHIA,FLYERS
"Nov 02, 2011","Upper body injury, day-to-day.",MATT,READ,PHILADELPHIA,FLYERS
"Mar 23, 2011",Signed as a free agent by the Philadelphia Flyers to a three-year contract.,MATT,READ,PHILADELPHIA,FLYERS
