Date,Injury,Firstname,Lastname,City,TeamName
"Mar 19, 2016",Missed 9 games (lower body injury).,JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Feb 26, 2016","Lower body injury, day-to-day.",JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Jul 30, 2015",Signed by the Philadelphia Flyers to an eight-year contract extension.,JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Sep 17, 2012",Signed with HC Lev Praha (KHL).,JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Jul 26, 2012",Re-signed as a restricted free agent by the Philadelphia Flyers to a four-year contract.,JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Jun 18, 2012",Philadelphia Flyers tendered a qualifying offer.,JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Mar 13, 2012",Missed 3 games (head injury).,JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Mar 08, 2012","Head injury, day-to-day.",JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Feb 16, 2012",Missed 1 game (upper body injury).,JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Feb 12, 2012","Upper body injury, day-to-day.",JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Jul 01, 2011",Re-signed as a restricted free agent by the Philadelphia Flyers to a one-year contract.,JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Jun 23, 2011",Acquired from the Columbus Blue Jackets.,JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Jan 26, 2010",Missed 1 game (upper body injury).,JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Jan 22, 2010","Upper body injury, day-to-day.",JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Sep 30, 2007",Returned to his junior team (Halifax-QMJHL).,JAKUB,VORACEK,PHILADELPHIA,FLYERS
"Aug 02, 2007",Signed by the Columbus Blue Jackets to a three-year entry-level contract.,JAKUB,VORACEK,PHILADELPHIA,FLYERS
