Date,Injury,Firstname,Lastname,City,TeamName
"Nov 21, 2017",Missed 1 game (upper body injury).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Nov 18, 2017","Upper body injury, day-to-day.",JORDAN,WEAL,PHILADELPHIA,FLYERS
"Oct 24, 2017",Missed 2 games (upper body injury).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Oct 19, 2017","Upper body injury, day-to-day.",JORDAN,WEAL,PHILADELPHIA,FLYERS
"Jun 29, 2017",Signed by the Philadelphia Flyers to a two-year contract extension.,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Apr 08, 2017",Missed 1 game (flu).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Apr 04, 2017","Flu, day-to-day.",JORDAN,WEAL,PHILADELPHIA,FLYERS
"Mar 16, 2017",Missed 1 game (lower body injury).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Mar 15, 2017","Lower body injury, day-to-day.",JORDAN,WEAL,PHILADELPHIA,FLYERS
"Feb 25, 2017",Missed 2 games (upper body injury).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Feb 17, 2017","Upper body injury, day-to-day.",JORDAN,WEAL,PHILADELPHIA,FLYERS
"Feb 10, 2017",Recalled from the Lehigh Valley Phantoms (AHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Oct 13, 2016",Assigned to the Lehigh Valley Phantoms (AHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Jul 11, 2016",Re-signed as a restricted free agent by the Philadelphia Flyers to a one-year two-way contract.,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Jul 05, 2016",Filed for salary arbitration.,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Jun 27, 2016",Philadelphia Flyers tendered a qualifying offer.,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Mar 12, 2016",Missed 11 games (upper body injury).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Feb 22, 2016","Upper body injury, injured reserve.",JORDAN,WEAL,PHILADELPHIA,FLYERS
"Feb 16, 2016","Upper body injury, sidelined indefinitely.",JORDAN,WEAL,PHILADELPHIA,FLYERS
"Jan 06, 2016",Acquired from the Los Angeles Kings.,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Jul 16, 2015",Re-signed as a restricted free agent by the Los Angeles Kings to a one-year contract.,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Apr 12, 2015",Assigned to the Manchester Monarchs (AHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Apr 11, 2015",Recalled from the Manchester Monarchs (AHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Oct 05, 2014",Assigned to the Manchester Monarchs (AHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"May 16, 2014",Assigned to the Manchester Monarchs (AHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"May 07, 2014",Recalled from the Manchester Monarchs (AHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Sep 21, 2013",Assigned to Manchester (AHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"May 09, 2013",Recalled from Manchester (AHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Sep 14, 2012",Assigned to Manchester (AHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Sep 21, 2011",Returned to his junior team (Regina-WHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Apr 18, 2011",Signed by the Los Angeles Kings to a three-year entry-level contract.,JORDAN,WEAL,PHILADELPHIA,FLYERS
"Sep 24, 2010",Returned to his junior team (Regina-WHL).,JORDAN,WEAL,PHILADELPHIA,FLYERS
