Date,Injury,Firstname,Lastname,City,TeamName
"Oct 26, 2016",Missed 3 games (suspended by nhl).,DALE,WEISE,PHILADELPHIA,FLYERS
"Oct 21, 2016","Fined $39,166 by the NHL.",DALE,WEISE,PHILADELPHIA,FLYERS
"Oct 21, 2016",Suspended by the NHL for 3 games.,DALE,WEISE,PHILADELPHIA,FLYERS
"Jul 01, 2016",Signed as an unrestricted free agent by the Philadelphia Flyers to a four-year contract.,DALE,WEISE,PHILADELPHIA,FLYERS
"Feb 26, 2016",Acquired from the Montreal Canadiens.,DALE,WEISE,PHILADELPHIA,FLYERS
"Feb 24, 2016",Missed 1 game (illness).,DALE,WEISE,PHILADELPHIA,FLYERS
"Feb 22, 2016","Illness, day-to-day.",DALE,WEISE,PHILADELPHIA,FLYERS
"Jan 16, 2016",Missed 4 games (upper body injury).,DALE,WEISE,PHILADELPHIA,FLYERS
"Jan 03, 2016","Upper body injury, injured reserve.",DALE,WEISE,PHILADELPHIA,FLYERS
"Jan 02, 2016","Upper body injury, sidelined indefinitely.",DALE,WEISE,PHILADELPHIA,FLYERS
"Jun 17, 2014",Signed by the Montreal Canadiens to a two-year contract extension.,DALE,WEISE,PHILADELPHIA,FLYERS
"May 29, 2014","Head injury, day-to-day.",DALE,WEISE,PHILADELPHIA,FLYERS
"May 29, 2014",Missed the last playoff game (head injury).,DALE,WEISE,PHILADELPHIA,FLYERS
"Apr 09, 2014",Missed 6 games (upper body injury).,DALE,WEISE,PHILADELPHIA,FLYERS
"Mar 25, 2014","Upper body injury, day-to-day.",DALE,WEISE,PHILADELPHIA,FLYERS
"Feb 03, 2014",Acquired from the Vancouver Canucks.,DALE,WEISE,PHILADELPHIA,FLYERS
"Nov 19, 2013",Missed 10 games (leg injury).,DALE,WEISE,PHILADELPHIA,FLYERS
"Oct 25, 2013","Leg injury, injured reserve.",DALE,WEISE,PHILADELPHIA,FLYERS
"Jul 24, 2013",Re-signed as a restricted free agent by the Vancouver Canucks to a one-year contract.,DALE,WEISE,PHILADELPHIA,FLYERS
"Apr 06, 2013",Missed 5 games (shoulder injury).,DALE,WEISE,PHILADELPHIA,FLYERS
"Mar 28, 2013","Shoulder injury, injured reserve.",DALE,WEISE,PHILADELPHIA,FLYERS
"Mar 26, 2013","Shoulder injury, sidelined indefinitely.",DALE,WEISE,PHILADELPHIA,FLYERS
"Oct 12, 2012",Signed with Destil Trappers Tilburg (Netherlands).,DALE,WEISE,PHILADELPHIA,FLYERS
"Jul 25, 2012",Re-signed as a restricted free agent by the Vancouver Canucks to a one-year contract.,DALE,WEISE,PHILADELPHIA,FLYERS
"Jun 18, 2012",Vancouver Canucks tendered a qualifying offer.,DALE,WEISE,PHILADELPHIA,FLYERS
"Feb 19, 2012",Missed 5 games (foot injury).,DALE,WEISE,PHILADELPHIA,FLYERS
"Feb 09, 2012","Foot injury, day-to-day.",DALE,WEISE,PHILADELPHIA,FLYERS
"Oct 04, 2011",Claimed off waivers from the New York Rangers.,DALE,WEISE,PHILADELPHIA,FLYERS
"Oct 01, 2011",Assigned to Connecticut (AHL).,DALE,WEISE,PHILADELPHIA,FLYERS
"Jun 27, 2011",Re-signed by the New York Rangers to a one-year contract.,DALE,WEISE,PHILADELPHIA,FLYERS
"Jan 22, 2011",Assigned to Connecticut (AHL).,DALE,WEISE,PHILADELPHIA,FLYERS
"Jan 01, 2011",Recalled from Hartford (AHL).,DALE,WEISE,PHILADELPHIA,FLYERS
"Dec 18, 2010",Assigned to Hartford (AHL).,DALE,WEISE,PHILADELPHIA,FLYERS
"Dec 17, 2010",Recalled from Hartford (AHL).,DALE,WEISE,PHILADELPHIA,FLYERS
"Oct 03, 2010",Assigned to Hartford (AHL).,DALE,WEISE,PHILADELPHIA,FLYERS
"Oct 02, 2010",Recalled from Hartford (AHL).,DALE,WEISE,PHILADELPHIA,FLYERS
"Sep 27, 2010",Assigned to Hartford (AHL).,DALE,WEISE,PHILADELPHIA,FLYERS
"Apr 04, 2010",Recalled from Hartford (AHL).,DALE,WEISE,PHILADELPHIA,FLYERS
"Sep 17, 2009",Assigned to Hartford (AHL).,DALE,WEISE,PHILADELPHIA,FLYERS
"Sep 26, 2008",Assigned to Hartford (AHL).,DALE,WEISE,PHILADELPHIA,FLYERS
"Sep 19, 2008",Signed by the New York Rangers to an entry-level contract.,DALE,WEISE,PHILADELPHIA,FLYERS
