Date,Injury,Firstname,Lastname,City,TeamName
"Jan 18, 2018",Missed 1 game (undisclosed).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Jan 16, 2018","Undisclosed, day-to-day.",CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the Dallas Stars in the NHL Expansion Draft.,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Dec 28, 2016",Missed 4 games (suspended by nhl).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Dec 16, 2016","Fined $85,555 by the NHL.",CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Dec 16, 2016",Suspended by the NHL for 4 games.,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Nov 17, 2016",Missed 17 games (knee injury).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Oct 11, 2016","Knee injury, injured reserve.",CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Aug 28, 2015",Signed by the Dallas Stars to a four-year contract extension.,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Mar 12, 2015",Missed 1 game (disciplinary).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Mar 10, 2015","Disciplinary, day-to-day.",CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Nov 13, 2014",Missed 3 games (lower body injury).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Nov 06, 2014","Lower body injury, day-to-day.",CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Sep 29, 2014",Re-signed as a restricted free agent by the Dallas Stars to a two-year contract.,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Jun 30, 2014",Dallas Stars tendered a qualifying offer.,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Mar 16, 2014",Missed 1 game (lower body injury).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Mar 14, 2014","Concussion, sidelined indefinitely.",CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Jan 13, 2013",Recalled from Texas (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Sep 14, 2012",Assigned to Texas (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Jun 22, 2012",Acquired from the Washington Capitals.,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"May 01, 2012",Recalled from Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Apr 19, 2012",Assigned to Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Mar 28, 2012",Recalled from Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Mar 24, 2012",Assigned to Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Mar 23, 2012",Recalled from Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Feb 02, 2012",Assigned to Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Jan 30, 2012",Recalled from Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Jan 25, 2012",Assigned to Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Jan 12, 2012",Recalled from Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Jan 02, 2012",Assigned to Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Dec 30, 2011",Recalled from Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Dec 18, 2011",Assigned to Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Nov 01, 2011",Recalled from Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Oct 04, 2011",Assigned to Hershey (AHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Oct 20, 2009",Signed by the Washington Capitals to a three-year entry-level contract.,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
"Sep 17, 2009",Returned to his junior team (Swift Current-WHL).,CODY,EAKIN,VEGAS,GOLDENKNIGHTS
