Date,Injury,Firstname,Lastname,City,TeamName
"Feb 15, 2018",Missed 1 game (flu).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Feb 13, 2018","Flu, day-to-day.",ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Oct 27, 2017",Missed 4 games (lower body injury).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Oct 14, 2017","Lower body injury, injured reserve.",ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the Minnesota Wild in the NHL Expansion Draft.,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Jun 21, 2017",Re-signed by the Vegas Golden Knights to a three-year contract.,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Jun 14, 2017",Minnesota Wild tendered a qualifying offer.,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Apr 21, 2017",Missed the last playoff game (undisclosed).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Apr 18, 2017","Undisclosed, day-to-day.",ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Dec 27, 2016",Missed 3 games (lower body injury).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Dec 19, 2016","Lower body injury, day-to-day.",ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Nov 10, 2016",Missed 7 games (lower body injury).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Oct 22, 2016","Lower body injury, day-to-day.",ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Apr 16, 2016",Missed the last playoff game (lower body injury).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Apr 13, 2016","Lower body injury, day-to-day.",ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Jan 05, 2016",Missed 1 game (undisclosed).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Jan 03, 2016","Undisclosed, day-to-day.",ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Nov 18, 2015",Missed 1 game (illness).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Nov 17, 2015","Illness, day-to-day.",ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Aug 02, 2015",Re-signed as a restricted free agent by the Minnesota Wild to a two-year contract.,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Jul 05, 2015",Filed for salary arbitration.,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Nov 01, 2014",Missed 2 games (head injury).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Oct 28, 2014","Head injury, day-to-day.",ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Feb 24, 2014",Recalled from the Iowa Wild (AHL).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Feb 07, 2014",Assigned to the Iowa Wild (AHL).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Jan 06, 2014",Recalled from the Iowa Wild (AHL).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Dec 23, 2013",Assigned to the Iowa Wild (AHL).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Dec 13, 2013",Recalled from Iowa (AHL).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Dec 09, 2013",Assigned to Iowa (AHL).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Nov 29, 2013",Recalled from Iowa (AHL).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Sep 24, 2013",Assigned to Iowa (AHL).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Apr 07, 2013",Signed by the Minnesota Wild to a two-year entry-level contract.,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
"Apr 07, 2013",Re-assigned to Houston (AHL).,ERIK,HAULA,VEGAS,GOLDENKNIGHTS
