Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2017",Signed as an unrestricted free agent by the Vegas Golden Knights to a two-year contract.,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Jan 17, 2017",Claimed off waivers from the St. Louis Blues.,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Jan 16, 2017",Placed on waivers by the St. Louis Blues.,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Dec 08, 2016",Recalled from the Chicago Wolves (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Nov 04, 2016",Assigned to the Chicago Wolves (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Nov 02, 2016",Recalled from the Chicago Wolves (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Oct 01, 2016",Assigned to the Chicago Wolves (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Jul 02, 2016",Signed as an unrestricted free agent by the St. Louis Blues to a one-year two-way contract.,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Jan 24, 2016",Assigned to the Bakersfield Condors (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Jan 15, 2016",Recalled from the Bakersfield Condors (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Jan 14, 2016",Assigned to the Bakersfield Condors (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Dec 27, 2015",Recalled from the Bakersfield Condors (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Sep 27, 2015",Placed on waivers by the Edmonton Oilers for the purpose of being assigned to the Bakersfield Condors (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Jun 08, 2015",Re-signed by the Edmonton Oilers to a one-year contract.,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Dec 29, 2014",Assigned to the Oklahoma City Barons (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Dec 14, 2014",Recalled from the Oklahoma City Barons (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Nov 03, 2014",Assigned to the Oklahoma City Barons (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Nov 02, 2014",Placed on waivers by the Edmonton Oilers.,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Jan 09, 2014",Assigned to the Oklahoma City Barons (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Jan 03, 2014",Recalled from the Oklahoma City Barons (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Sep 22, 2013",Assigned to Oklahoma City (AHL).,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
"Jul 06, 2013",Signed as a free agent by the Edmonton Oilers to a two-year entry-level contract.,BRAD,HUNT,VEGAS,GOLDENKNIGHTS
